Text: 哎，大家好，欢迎收听本期 juduo wave 节目。现在时间是二零二三年二月十四日上午十一点。我是 CT，我是 JF，我是饼干，我是自热。哎，还是这回就是这还是这阵容很熟悉，但是这回录的节目不一样，因为是想时效性高一点。这两天不是那个 steam next fast 嘛，, Start Time: 19210
Text: 嗯，今年我去年下半年开始年底的时候逐渐开始放消息了。嗯，这个游戏我挺期待，是因为它是嗯怎么说，我认为是就是在之前的 RTS 整体上偏衰落吧之后，可以说 VRTS 这个领域注入心血的另一条路。嗯，就是所谓的那个拟真硬核 RTS，嗯，就是以代表的话就是这个尤金系统或者欧根系统。, Start Time: 3891560
Text: 嗯，欧根欧根系统以前是那个预必发行过一款那个冰者轨道。嗯，对， RUSE 啊，然后之后他又自己出来开始做这个所谓的 world game。这个系列，包括这个欧洲扩张、空立体一体战和红龙非常火啊，那时候非常火。呃，这一类的 RTS 有一个很重要的特点，就是它和以往的 RTS 相比，, Start Time: 3923000
Text: 它跟真正的拟真沙盘兵器的关系更近。嗯，对，它是更是那种东西。其实在传统的 RTS 上，呃，很多 RTS，包括呃西木系的、暴雪系的，呃，甚至包括横扫千军。它其实对战场信息是有一个归纳了，就是归纳完之后给玩家去用的。比如说有那个高低坡啊嗯呃那个什么战争迷雾啊，, Start Time: 3946550
Text: 嗯啊，比如说甚至比如说比较新新的 RTS，有那种什么进草丛就隐隐形了。嗯，然后那个星期二有这个，比如说呃感应塔什么这种东西。呃， war game 是个系列，或者说尤金系统做的这个系列，它叫 war game，它真的就跟那个 world game 是一样的。, Start Time: 3973010
Text: 它就是电子的兵器，战场的所有信息游戏不会为你归纳，而是你作为一个指挥官，你应当知道啊啊，比如说这有个坡坡，嗯，你要是看不出来，那是你的事儿啊，这这有个树林树林里的那些呃效果，比如说呃装甲单位移动会变慢呀，嗯然后那个有遮蔽啊些视视野遮蔽啊这种可能性啊都是以比如说暗藏了甚至是投骰之类类的变量为这个基础去设计的。, Start Time: 3990290
Text: 然后你的每一个单位他能不能对目标进行攻击啊，那是他的事业。嗯，你要想到他能不能看到，他能不能被对方看到嗯，他被攻击了之后，他会不会慌乱？嗯，慌乱之后，他还能不能还击这些东西，就是一切都是走这个兵器，把所有尽量的把所有现实的情况考虑到。嗯，然后在战场现实上再有一些随机性的推演来做的。, Start Time: 4023210
Text: 而且他因为完全拟真，他肯定是以冷战也好，或者是冷战后的这个一些国家之间的冲突嗯啊去去做的。他尽可能的会还原，就是准现代战争的那种情况啊，你没有侦查侦察步兵完你就瞎就是小龙虾。对面呢可能那些侦查侦查的步兵就潜伏在某个草丛里。把你看得一清楚楚后，那个炮就就来了光了啊，, Start Time: 4048550
Text: 一一砸你就废了这种啊，比如说这个步兵步兵在开阔地形，然后被比如说那个步兵战车抓到了，基本上几轮几轮那个呃骑射之后，你的步兵船基本上就溃退了，这个就完全被消灭了等等。还有什么坦克瞎他妈往军营区里开，然后被那个躲防里的那个呃步步兵白拿桶的，直接就对直接掉之类的这些事儿还更不用说什么，, Start Time: 4072200
Text: 你忘了你忘了防防空车。嗯，对，然后对面直接连固定翼带什么，直接就过来把你打掉。全部都是非常高强度的策略的对抗。这点很有意思。就是呃这类游戏其实是我觉得是把 RTS 里策略的部分重新放大。嗯，它基本上就是惩罚你的，主要是惩罚你没想到，而不是而不是惩罚你没操作操作作啊。, Start Time: 4097480
Text: 当当然里面说实话，尤金系统的游戏有些那个操作压力挺大的。比如说他那个他那个步兵班上车的时候，那个车你他妈得手动操作，就操我累的啊啊，你就得手动啊，开进去躲那个坦克那个就是这边那个烟雾弹一上，赶紧冲，然后快快他妈下车节别特别啊操作了，那个挺费劲的。但是他和比特别是暴雪系的，, Start Time: 4126380
Text: 嗯， RTS 里那种动作性相比，你看最近李飞男冠军了是吧？就是我们录的时候，刚刚就就终操操操操作特牛逼。对，太牛逼了。然后你看他的比赛里，你其实你会感到暴雪，特别在星际争霸这样的游戏里，这游戏已经变得像格斗游戏了。是是是拉扯厉活节奏，特别处理资源是。然后然后你看李飞男最后打马路最后一场的时候，, Start Time: 4149280
Text: 基本上就是一个可能只有几秒的窗口。嗯，马路慌了一下，马马慌了坦克一线变形乱动。对，然后然后这边机械部队直接上上去，就是那种操作的美感是就是他他肯定特别好，咱另一方面就是他门槛非常的高。对，玩的特看着非常的爽啊，你是操作不了的心机玩一把，我要缓两小时，真是不输输啊。, Start Time: 4171180
Text: 而且而且而且星际的这种强度是全方位的，就是其实它的运营也需要高操作。对对，是你不不防农民嘛，骚扰，还有防防骚扰，我靠。对，然后分配农民、拉农民什么这些，然后前方就是所有的东西都是我称之为 ARTS action。嗯，它有动作游戏的属性在里面，而且暴雪也擅长在这个 RTS 交互上做的很利索。, Start Time: 4193770
Text: 嗯，而尤金系统这样的模式其实就是倾向于让你多想。嗯，你手慢慢点可以慢点啊。这这套模式说实话我的经验是我我拿我传统 RTS 的经验去玩 open 系统的 word game 的时候，嗯，完全没有用。你就是重新学，其实就是重新学的，所以让我特别的丧气，特别的难受。, Start Time: 4215770
Text: 所以当说回来终于能说回到这个 broken error。嗯，他宣布的时候，我其实是很期待他能不能为这个拟真及时加理游戏，找出另外一条路。比如说他可能在交互上什么的有些变化，嗯，然后这个 demo 出来之后呢，我玩了一下，嗯，我只能说好像没有，你知道吗？就是他因为这个项目本身就是在这个红龙有点摆烂的时候嗯立的项，, Start Time: 4239860
Text: 所以他有点像是这种，就是很多人不满欧文系统。对，红龙那种就是卸怠。因因为他后来做那个钢铁铁师，那那二二的的还对做冷战的那个个预先号令嘛， worno 那个 worno，所以就自己拢了一个这么一个拟真的游戏。嗯，跟红龙很像，而且因为是 demo，说实话有些地方是很粗糙的，, Start Time: 4267580
Text: 嗯嗯，就是和和红龙其实是一脉相承的那种，整个战场非常非常精细。他现在 demo 是一个一个战役，就是你控制美国的这个四棱人去跟跟跟俄罗斯，跟跟毛子打。嗯，就是这样，然后你一上来就是比如说你开始只有步兵战车和这个呃步兵班啊，然后对面这个有坦克。嗯，我的我真的就是那游戏真的就是那样。, Start Time: 4289420
Text: 我当时手贱了一下，嗯，完了 BTR 从那个楼的中间抻出来了一点啊，然后坦克溅出一炮就掀了，就把车掀了。哎，我说哎呦，这不是跟那个时候还是一样吗？嗯，但是这这种点上玩下来，它里面有一些就是给我印象挺深的，部分是他这个 demo 有些有些交互做的不好。就比如说那步兵从那个步兵战车里出来，, Start Time: 4316630
Text: 嗯嗯，他那俩俩兵牌就叠一块了，你知道吗？哎呀，然后那点完车叠在步兵上头，然后我还得给他框起来，然后在那个小队里拉出来，赶紧让他上那个上楼里。我当时那个卡车停在楼下面，这着急人，然后已经被对面的那个 BPR 拔了。嗯，我赶紧扔那个烟雾弹，嗯，然后烟雾弹，然后快下快车车，, Start Time: 4343140
Text: 下完车之时候俩兵排叠一块上。我说哎呦，我操他妈气坐，然后我就在选那个步兵，选步兵的时候，那边一炮不完，那那卡车已经没了。哎，那牌漏出来我说行了算了。这种有种操作角策失误的时候惩罚特别高，所以这操作利利索太可怕了。哎，这这种交互在红龙里的话，其实你就看到两个兵牌就就并排，, Start Time: 4364920
Text: 然后并牌显示能让你快速的做选择。所以嗯我我不知道这怎么回事，可能是他们经验不足。嗯，我看到了很多，比如说红楼玩家，其实对他的这个 demo 评价还是挺高的。但是这个部分我不是特别懂，我有点玩起来有点儿不得要领。嗯，比如说这个游戏所有的烟雾弹只能往脚底下扔。, Start Time: 4385760
Text: 我就我就有点呃可能可能是因为我我选的的个个单位的特性吧。因为在轰龙里，我的朋友教我的最多的就是拿那个拿自行火炮打打烟雾弹打一盘烟幕，然后你的单位都往下上这种，然后我在这里就至少在 demo 里的前期不太容易做出这种操作吧。嗯，但是我觉得他真的可能在视效上确实好好像很精美。, Start Time: 4405170
Text: 就是你要拉巨远。拉巨远之后，你看那个兵牌的移动是拉近了之后，他那个每个单位主要是这种游戏，每一个单位的每个动作是有意义的。嗯嗯，就是你别看他们那是一个小队的步兵的单位，他他那个网上往楼里进的时候，但凡有一个单位落外头了，他那就是一个单位。哎，所以玩下来就是主要的感觉就是 UI 交互不舒服。, Start Time: 4429730
Text: 嗯嗯，另外一方面在玩法上不知道他能在你真的呃现代战争的这种策略交互上，能不能做出跟欧文系统系的那个 world game 这样的游戏的区分。目前其实没有玩太没有太玩出区分来。嗯哦，他是 demo，就他妈快四十个戏嗯，是还挺大的这这游戏我我很希望他能配置要求巨低巨对，, Start Time: 4452390
Text: 嗯嗯，也多好哦，可以，我很希望他能就是怎么说呢？在这个品类和欧文系统游戏形成一种抗衡。嗯，因为以前其实就这一家是嗯他想摆就摆他他想挣钱，想出去出这个这个不好，我觉得有就好有有这样的一个游戏，希望他赶紧出了，大家可以互相比着比着玩，嗯，这还挺好的啊。是啊，差不多是这么这么一个。, Start Time: 4479190
Text: 嗯，然后呢，那我再说一个比较轻松休闲的嗯，这个昨天纳迪亚甚至还疯狂的在在夸这个就是 unmy dream set up 哦，啊那个就是这这这叫什么呀？就是买自己的电竞屋的那个对电竞屋搭配。对，就是这这游戏整体还挺还挺禅意的哦，就给你一小屋，你自己就是呃选各种家具啊，, Start Time: 4504210
Text: 各种配色呀，就慢慢搭捉搭，这么就就这么一个玩法。嗯嗯，然呃现目前这个试玩版呃东西稍微有点少，然后还有一个就是让我不是太满意的点，就是它强强制规定你必须是一个四边形的屋子。哦，对对，就户型不明明，你明明可以在那个设计图纸上边自己去画那个房间的轮廓，但是他必须得是四四边形，, Start Time: 4532860
Text: 不知道什么意思啊，这这个有点不爽，但是整体就是那你就这么随便的转转，这小屋啊，放点东西什么的，还挺有意思。对，跟别人显摆显摆，反正这这东西你平时自己弄的，毕竟成本高。那游戏里边给你这么一个爽机会呢，也挺好啊，平替就是过过过眼瘾，对，也也还可以，然后也期待一下正式版吧。, Start Time: 4561480
Text: 他好像这这很快，这下周就要上了，看看他正式版能加多少东西吧。我感觉这好像以后会成为一个分类，就所谓的这种 chill games。对，嗯，因为我我觉得他很像，我觉得我最初接触这样方向设计的，可能还是那个 kind words 嗯嗯，小屋里，然后给人写信，是互相互相鼓励，, Start Time: 4587920
Text: 那个那个种那个还要写。对那个那个就对那个后来就有那个 an m pack，嗯，就是那个打包之前那个个我我最早接触应该是那个斯鲁 lein fural 啊，嗯就那个也是写信，然后写完就什么人都给烧了。对，然后在烧的过程中有种那个对，其实小小小小炼狱有点那个剧情解谜的意思啊，, Start Time: 4609900
Text: 是通过烧之外，然后你就知道周围发生了啊。对我那故事讲的还挺嗯挺牛逼的，是就这类游戏真的嗯感觉也是现在玩家的一种需求，嗯，可能需要这个有点疗愈游戏，嗯，嗯，就是安抚一下自己。对，挺好的那感感觉以后未来会有各式各样的方向。嗯，其实我之前还玩过一个叫什么 low fly 乒乓，, Start Time: 4631860
Text: 就是跟着那个跟着那个节奏，你一盘我一盘的，我我怕另做不是特别好啊。嗨，但是这个游戏感觉就是希望它更静一点。我我脑子里想起了节奏天国里那首曲子。是的， oh my 乒乓。是的，真正的天国中的节奏啊，不过那个是 low polly，对不起。对啊哎是啊，然后我再说另外一个嗯这个哇这名字贼长嗯，, Start Time: 4656990
Text: 叫啥呀？我看一下名字哈，这名字都想不起够长。对，今天实实在是太他妈长了，我操那么长的吗？叫 USC counter four。啊啊，这游戏呢大概大概的情境就是你是这个人人类的坚坚实的护盾，保护人类的这么嗯一支武装力量。然后你去那个比如说废废弃的舰船，或者是一个废弃的基地里基里面产出异形。, Start Time: 4685930
Text: 哎呦，就是这样一个游戏，做的特别顶这个游戏。嗯，然后这个游戏我觉得特别好的一点，它基本上是一个 rock， like 嗯加上一个 x com 嗯，就是 x com 部分。大家听我刚才的描述，就知道他就是那种嘛，你一次出一个小队四个人，嗯，每个人各种家伙事儿啊，, Start Time: 4714170
Text: 然后那个各种技能，然后你一回合我一回合我的回合，我的单位就是用 AP 形容点数移动射击，然后 over watch 什么的是还好，然后就你一动我就我就揍你。嗯，什么就是这套东西来玩 x com 大家基本上都知道还有什么回合 y 肯定有一些人员的成长，培养什么这些东西。, Start Time: 4734870
Text: 嗯，然后我说它像 rock， like 主要是它的那个制型，就是那个传统 rock like 一个俯视，然后条格。嗯，对，然后一动的话，一个格一个格对一个格一个格的的。然后有一点就是是因为它是 rog， like like 大 x com，嗯，他把那个传统 rog lake 里那种巨丰富的 RPG 数值系统加进来，, Start Time: 4756760
Text: 嗯，从那个道具到一个人物的属性，呃，被动技能以及它跟环境互动的时候，那种比较丰富的那种呃状态。嗯，它都以那种 rock like 的那种承载方式，就是呃你都都能承载得了。因为不像那个 XM，可能就是嗯有的时候就觉得太墨迹了，那个安伟达镜头还得转，然后什么就是这些，, Start Time: 4776790
Text: 但是他这不是他这就是很利索，一个人四十多点 AP，你知道吗？我觉这是一回合干事儿巨嗷嗷的啊，然后然后就一回合连跑带攻击，攻击完再跑，然后盯光，然后嗯就很乐呵控制那个近战大哥冲上去好几刀，二回合我一顿砍我跟但丁似的。哇。对，而且他还有一点就是他的风味做的特别好，, Start Time: 4801360
Text: 就是每个人物有他的那个就是头盔的监视器。嗯，你能看到一个低视角，特别有意思，就是他的所有行为他真的有三 d 建模。对嗯，你看那个他视野里看到了走廊尽头有个玩意儿，晕晕戳戳的不对，你就真的能从那个右上角看到嗯代入感，你跑到他面前就是对对对啊，你跑到他面前你就能看到他，, Start Time: 4828360
Text: 你能感到那个人。比如说有一些呃头部的那个晃动啊，嗯，然后掏出武器来有一个低人声的动作，或者是掏出刀来那个砍击什么的。嗯，就特好，就是这游戏能感觉到他那个因为 rock like 那个结构，它的那个内容量特别多。嗯，你那个每一个人物的那那个培养那个属性多到不可思议啊。, Start Time: 4848820
Text: 然后这个 demo 是英文的，嗯，字儿实在是太他妈读太小，那那个字儿是字儿还小啊啊。然后他他有一点这点，我就想说它的另外一个缺点就是它的所有交互 UI 平围着那个画面铺一圈。对对对，哇，全是东西啊，是什么什么战斗的结算呀，这个人物的状态啊，嗯啊，然后什么什么武器栏啊，, Start Time: 4870380
Text: 然后右上角有那个 rock like 典型的那种简约地图，然后那个地图的边上是我刚才说的电视器。嗯，对，一过展。对，看着截图就感觉跟那个这个广告页弹窗似的，给我整不会了。然后而且我觉得这一点它并没有发挥 rock like 应有的那个优势。嗯，就很多 rolike like 特别是我所谓的那种传统传统，, Start Time: 4894960
Text: 就是 rolike 什么 CDDA 啊，像什么那个嗯马加亚的马加雅尔的那个传说。嗯，那 TOME 其实是它的画面是干净的，它的战斗信息、战斗行为本身是简单的，嗯，它的背后的运算机制特别复杂，但是它不会给你摆上了。对他这个就是啥玩意儿都我哎能能等等。我说哎呦，, Start Time: 4915340
Text: 大哥你这样就有点那个把会把人吓退，嗯，而且也不知道他最后正式版会不会有中文，是是游游个那动作程度绝对不差，绝对对绝好，这都不用。那那哦他那个 demo 的教学是拿那个豆腐块写字做的哦，那一个动画块里小他妈五六百字。对，比如说哎呦玩玩后来不看了，我就凑合凑合玩得了。, Start Time: 4939690
Text: 然后我也就当一个 rolike 游戏玩完全够。哎，你大概就知道啊，那个知道啊，他那个 defense 其实就是 over over watch。就是那个手手设设点，然后什么你这个人物有多少 AP，然后你那个技能能用每个动作，就是他们之所以一个回合给你四十多 AP，, Start Time: 4962910
Text: 是因为他那个动作可以做特别细。嗯，比如说移动的啥的是十几点或者攻击是十点，设计是十点，有些个小动作扔个手雷啊，交跟场景交互一下，可能就是三四点，知道吧？这设设计那个对耐玩程度绝对没问题。他甚至有点让我想起了以前呃铁血联盟嗯嗯嗯二十五点 AP 那那样的设计。, Start Time: 4980030
Text: 嗯嗯，所以好玩可能是好玩儿，但是它这个这个信息呈现 UI 这个玩意儿，我也不知道他还有没有经历，或者是有没有想法把它再去优化一下。嗯，我觉得这个我抱怨一句啊，就是独立游戏制作的策略游戏。从即时战略到回合制游戏。其实对于小厂来说，真正的坎儿是交互的优化。嗯嗯，, Start Time: 5001250
Text: 其实是是什么窗口长菜单啊，点击啊这些东西的优化是太难了。我感觉就是这种东西反而成为了你玩策略游戏。长时间让游玩的时候一个真正的疲劳点。嗯，不是因为动脑了，是因为我他妈点这叉叉，点个确定点这个攻击点那点多了之后，你就哎呦，我天了受不了。哎，嗯，我觉得这也是为什么很多人其实更喜欢日式的策略游戏，, Start Time: 5025210
Text: 日式的回合制游戏，就他们很长一段时间，长时间积累下来的那个菜单交互嗯，是利索的。是就是这三两下他非常清楚，知道你这个动作做的多，你可能就只需要吸尽，可能让你少点按键，嗯，你就点了。对，哎呦，我天我就说 PC 上的很多策略游戏，特别是小厂做的，他真是顾不了那许多了，, Start Time: 5050230
Text: 哎，就能把它做出来已经不容易了，你就更能说优化了。那点的我之前玩那个奇迹时代，嗯，那星运哎呦，我还有那个文明六嗯，窗口跌窗口叉，底下叉，我的妈哎啊时间长就累了。我感觉这个游戏在这方面有有也有问题，但是也不抱太大希望了。本身系统复杂度够高，肯定是非常耐玩。嗯嗯，, Start Time: 5069730
Text: 推荐大家关注一下。嗯，对，你说这个前两天咱聊的时候，我回想起来一个特别老的游戏，正好在这就说一嘴吧，就是以前在 IOS 上面玩的叫 hunters。哦，对，可能还出个二，后来还出个二，然后那个启蒙跟我抗那个组，后来还做过战锤的，后来的演程作骑。对，是那个战王 quest 吧。, Start Time: 5093710
Text: 好好像是还有一个是死亡守望哦，死亡守望他们坐牢。对，然后他那个吧就是就实现了，你说这个特别简单，是他那个人吧，就是他也是顶视角，然后回合你，你打我打那种感觉，是他那 AP 点特少，就就是进现了。你六六点远程单位有四点，对你能干的呀，也就是啊我这回合就偶尔 watch 了。, Start Time: 5114720
Text: 然后我这回合就是移动一些，呃，以他回合不不不走 AP，他只是走范围，走范围是你能走这个范围，那你只能走一下。嗯，走完之后给你走完了，然后看见人了，然后打一枪。你这个单位就算是结束了，是没有那么多幺蛾子，你要扔手榴弹，你扔了也就结束了，就是移动打就那个能干两件事儿。, Start Time: 5137180
Text: 但是他那个反正在我那会儿玩，我觉得那会儿可能上初中嗯，还是什么时候玩那个就我已经觉得这这这挺有意思了。对，尤其是后来出的那个战锤的那个，反正时候算有一些有一些那个积累吧，就是你打着什么装备给你那个给你小队人装上是你的那个爆弹枪，从从从白的变的的是变词。对啊，, Start Time: 5156750
Text: 就还行嘛，就就是一个挺简单的一个啊，你说这个挺简单，他这个是因为很头疼加入 like 之后他就是故意的把复杂度拉满了。是他很像那个西蒙非常喜欢的一个老游戏，叫 star testyle tactics 啊，那种那个游戏，就那种哇苏我都要就感觉是那个欧美版本的神山山平什么的，, Start Time: 5180930
Text: 我全都要，我全都做去。你妈的我全要做进去了，就那那种也喜欢就往里塞。对，哎，我就印象特深，那个游戏 star 叫 style tactics 什么的。他的那个每个回合行动的时候，不是能那个瞄准吗？它有个它有个简约的 VATS 系统，嗯，那 VATS 系统特牛逼视角都不变，, Start Time: 5200850
Text: 你自己再拿鼠标往上瞄，你往那模型上瞄，是打头还是打腿？我当时震震惊，我这都是五六年前玩的，我不知道现在这游戏更到什么程度，嗯，挺牛逼的啊。是啊，而且说起这个提嘴那个叫一星什么的，在嗯在加头闹闹是吧？在都闹闹。对， demdemo 里有，但是我没下，我怕怕这个图我现在就是自从我试了一次 x come 二的 long word 那个 mad mode 之后，, Start Time: 5222760
Text: 我真是对这种硬核拟真的 s com 的有点怕怕我有点玩不明白，白难难了，是挫败感太强，导致这个这个这个新的 demo，我甚至都没下敬而远之了。是我给我说起另外一个，我又喷另外一个 demo，有请是喷嘛，反正就是情理之中，意料之中嗯，大海时代大海时代起源啊，, Start Time: 5252590
Text: 这游戏戏游戏疫疫情前就公布了，当时说是交给了一德国呃韩国的公司做成网游嗯，手机加 PC 双平台。嗯，这个东西最近终于出了，然后我看了一下商店的信息页，反而是光荣自己开发，然后一个韩国公司发行，这也很合适。这种嗯世界范围内运营的网游就很合适。然后嗯这个游戏比大概史莱姆好，, Start Time: 5275450
Text: 但是好的有限啊，毫毫的有限，就是还是他太那个就是付费付费点卡的比较死，还是就是作为中国的手游玩家来说，太老了，就这套逼我花钱的招儿太老了。嗯，就感觉他他基本上是大海时代 online 的底子，就是继承于三那个系统，什么那个语言学习之类的系统都有了啊，但是嗯然后海战也是回合制的，, Start Time: 5304170
Text: 嗯，这六格六格的那个那个东西。但是呢它在质感上有点像呃网易的大航海之之路吧。嗯叫什么来着？就它里面加入了太多不是历史浪漫的要素，嗯嗯，导致这个游戏在很多地方上不是很大啊，还嗯不是很大，很让我让我挺失望望，说实实话还挺失望望，但是嗯他还是比很多那种是开大敞开的航海游戏好一些，, Start Time: 5332980
Text: 因为他真真的还是大，还还是在这个真实的世界，以那个真实的那个时代为底子做的。嗯，那我就说没太玩进去，是他这个不太容易玩下去，就没咋地呢。然后各种各种手冲礼包都怼我脸上了，我真是哎挺挺挺遗憾的，有点有点遗憾了。哎，但是我觉得也许能成这这次做成这个样子，他他甚至是 steam 版和手机版同时都推出去了。, Start Time: 5365990
Text: 嗯嗯，也许在付费，在在营收上会好一些吧，不知道对吧，就就就这样了。嗯，只能说感情淡了，大汉十来能赖着十来过去，确实再再也没有。不管是游戏还是现实，早都过去了，都就能说都让他过去翻篇吧。嗯，哎，话说希望光荣我有几个好像喷的游戏，但是全换了。我操，我就想说说好汉，, Start Time: 5391570
Text: 希望光希望光荣重置大汉是赖 s 三，嗯嗯，不太容易选，国内不太容易玩到。嗯，是我重置好。嗯，我最后推荐一个就是我玩的贼有眼缘，但是其实没有什么好说的。嗯，有一个游戏叫呃好又开始就又开始失忆，又又失忆了一下，那个一下就断片了，是这个吗？啊，对，就是对， super auto battment 啊，, Start Time: 5416700
Text: 这游戏非常简单，一句话介绍完了就是自走棋的那戮点塔完事儿了，结束了挺好挺好，就是他是爬塔。对，然后没场战斗，赶紧去试就行了。对，战斗结束之后选的牌就是那个自走棋的那个骑士升级。嗯，没了，玩了了，挺好玩了，真的就是可可快乐了。你知道，因为那个你就是选去哪儿，, Start Time: 5441640
Text: 嗯，然后他就自己打。是嗯然后画面他画面我不知道是不是同一波人。嗯，因为我不知道大家有没有玩过那个小动物自走棋，没有那个我之前呃，应该叫那个叫啥呀，那个名字我有点儿想起来也叫 super 首饰。嗯， super 啥来着？耶 super 什么呀？他这看着还挺任天堂法务部警告的。, Start Time: 5465820
Text: 嗯，对，他是我说的是另外一个那个小小动物自走棋。那个我回头回头实在不行，我放那个评论区里吧。啊，那游戏从夜游好像还是到上手机，到现在 steam 上就能直接玩。嗯，好像叫 animal auto、 chess 还是叫什么，就是他是那样的，你每次的抓取什么的是你自己的事儿。, Start Time: 5493840
Text: 嗯嗯，但是你的对战是跟那个全世界的池子一起的。嗯，哦，所以你你并不是为了就是争一个什么第一，而是尽可能能活到那个就是明白我意思就活活到数啊，啊，就是那个就特别特别好啊，那个那个我玩了好久啊，甚至想给他充钱买个帽子。哇，可以啊，我我一会儿查到了之后，放到评论区里给大家看看。, Start Time: 5517080
Text: 好嗯，行，我我试玩的差不多也也也就这些了，嗯，差不多就这些差不多了，是不是 c 老师师还有一个呀？哦，还有一个那个 planet planet of aszana，什么拉大星球，那个游戏这个这个 demo 开始应该是游戏已经进行了一段时间，这一个人醒了，然后一个小猫给他叫醒，, Start Time: 5544360
Text: 然后一个现在这俩这俩就组成了一个小队，一起向前走，分分工合作解谜和打一些敌人。我这游戏没其实没什么太多可说。但是就跟画面，我咱们现在已经见过那么多这种平台解谜，就是这两个角色合作游戏。但是这画面还是让我觉得太舒服。当时就是出 demo 的时候，就不是当时第一次宣传的时候，, Start Time: 5566210
Text: 就觉得舒服就会玩了。发现这画面真是看着赏心悦目。这嗯因为美术方面也不太懂，就是喜欢美术的人，大家可以去试试。就是不管是背景的那些树叶的晃动主角，那些细节，包括那个小猫，它可以让那小猫停那儿踩，帮它踩着东西，然后再把小猫叫回来。那个所有动作都特别自然，是这类型。, Start Time: 5590830
Text: 我本来以为自己都审美疲劳了，但还是眼前一亮。然后跟小猫分工合作还挺好玩儿，就一会儿让小猫去吸引注意力，因为它比较小嘛，你藏到一个洞里，把敌人引过去，然后那边让主角再把那个上面有个什么石头啥解开，让把敌人砸扁。对我靠，这么血腥呢，你的敌人都是机器人，这个这个笑容的机器人不是人吗？, Start Time: 5613560
Text: 弗 ana 和奥弗娜，我印象中是 anx o 的发布会，还是还是去年的那个 PC game show。我我记得好像是 gagame service 还是哪儿啊，好像是嗯其实那个片子特别亮眼，一开始你感觉就是挺简单的一个，就是在草原当中跟一个小伙伴一起，就是横着横着进行的那种冒险解密游戏。, Start Time: 5638460
Text: 对，然后突然一下演，就是有那个机器人机械的那个大场景。对，就是外星人来袭嘛。对一下那个调性一下就拉起来了。对，这这游戏还有一个场景，就是一个特别大的撞击。坑中间有一个像外星人一样的机器，正在那块洞。然后对我也这块儿路过那个场景，从一个特别明亮，突然就到那种突然就阴郁了一下，, Start Time: 5661790
Text: 然后但还是保持明亮的风格，这个术术风格把我觉得特别好。是的对，这两天我也查了查，就是其他外媒有没有写这些，然后发现其实大家都在写，嗯，比如说那个什么呃这次春季游戏节必玩的十个游戏。对对对，然这个个拉大就是常驻人口啊，是什么？十五大十大五大前面全全是他啊。对，, Start Time: 5685250
Text: 感觉花不少钱啊，但可能感觉就是那种佳作，但是也不会会说特牛逼那种，但就值得一玩。对，就是就是愉愉快，你知道吗？这种游戏看着就是愉快，嗯啊这就是我有类似体验的是那个叫摩卡地下城的游戏。嗯，也也是我，我说不就我不知道说啥，就是好嗨，就是画面特别好。然后他那个俯视视角的回合制战斗加上卡牌，, Start Time: 5711210
Text: 嗯，就是画面也很好。但是这种的话你要说真的那么好吗？你就得看看正式版那个卡牌和 flar PG 的系统到底能不能往深了去钻研，它的 demo 本身是非常好的啊，所以嗯不到嗯嗯嗯，行，就是这就可能就是怎么说，新品节的魅力是嗯新品节这个能游戏展示无限可能啊，对，, Start Time: 5738520
Text: 特别好。虽然也玩了好多，就是我就想不起来喷的游戏，但是那个好多游戏玩的还是就这么集中的去玩新游戏。这个活动本身就做的特爽，嗯，特别特别开心。嗯，你说这个我突然就我这次看那个新品节啊，其实我之前呃我对他印象还停留在他几年前的那个刚出始那会儿。对，因为那会儿我第一次就是体验了，, Start Time: 5762185
Text: 然后他里边好那会儿还有好多 demo 下来都都玩不了。对对对对，进去都闪退了，然后特别的就是特别糙，是就可能都没做，就是连 demo 都没做完那种感觉。然后但那会儿他量不完，就是你还能好翻翻翻翻翻翻完了。然后我这次我就说啊，我先把这个动作类的我先啊我翻一翻，, Start Time: 5788820
Text: 然后我周末玩一下，结果这就止步一次，是我我连动作类都没玩完事儿太多了。我这次第二次基基本上就破千了，还是还几百，反正第一次我基本上还能全吐露一遍。对，看一遍是他没没有，他这次好像我好好像是八百多个，嗯，啊，这次的这次就八百多。嗯，对，应该没没。我觉得现在不允许重复游戏上了。, Start Time: 5807340
Text: 以前上过新品节，这回不允许来了啊，是设的这个规矩，要不然老是老就对您老是您就是几位又来了。嘿，就那种感觉。旧品节是行，那最后再来一个吧，给一个咱就结束了啊。最最后知道这 worwordless 嗯嗯是什么，就是下个没有破碎世界还是这种感觉。嗯，他这游戏是一个地图解谜，, Start Time: 5830780
Text: 加一个 QT 战斗相结合的。对，平时你是在这个地图里到处逛，然后通过一些呃移动能力啊，就是稍微有个联合成那个感觉，就是你解锁了冲刺啊，解锁了跳跃能力啊等等的，然后你就可以去探索之前看不了的地方。嗯嗯，然后他这个美术啊，我不知道大家还对那个 grace 有没有印象。, Start Time: 5856610
Text: 对啊，就是那个特别唯美水彩风格的那种那个戏，他这个美个有点像那个就是用一个比较简单的点线面的这种平台啊什么的。对，嗯嗯，就那个个个一一是挺梦幻的，嗯，嗯，然后主人公这个形象也是比较简单，他就是呃就感觉像是你这动捕演员四肢穿了几个点儿。嗯，他这在游戏里就是这个几个点儿是几个点，, Start Time: 5877410
