Text: 动作格斗 RPGG 桌面策略 ACT 如果你有想说的，一定会有机会说出来。家底有与你一起展示你的游戏。人生冲撞刀光子弹灰告白魔法，各种累累，物理画面都是美眉，没有话题。你来给啊，我是你。嗯，大家好，欢迎收听加九 pro 最新一期 FC 三十周年回顾的节目，, Start Time: 3960
Text: 就是就是黑白这特性黑白白碟，有那个有那个漫画，应该对叫黑白，也有叫黑白间谍。对对对对，有那个漫画那个那时游戏戏感感觉好高端呀。就那其实其实 FC 上挺多这种特别丰富这种类型游戏。我觉得最难的是那个南木工做的那个芭比伦塔，特别难。因因为那它里面都是那种正 l 和倒 l 型，, Start Time: 3500900
Text: 那专你得把一砖摆度了，就是当阶梯你们往上爬。还有一个小时候玩的是两个人，好像是男女朋友吧，小球球。然后在在两个屋子里，然后屋子迷宫不一样，你总你只能控制一个人，那是玩。与蜘蛛企鹅蜘蛛能打蜘蜘打打蜘蜘蛛网给给打。哦，那个我就是你控制一个人，但是是那边另外一个人也引了。, Start Time: 3522680
Text: 对，然后他在一块一块儿走，搭在一块亲嘴才行。对，是吧？嗯，然后那个你过关上的音乐就是欢乐颂的音乐。对对对对对对，那个当时也玩了挺久的那也哈罗森乱恶早期游戏那个你好像是怎么样，你得把另外一个人在一另一边给卡住，然后你自己再走这个路，然后你回来以后他还不能偏太远，, Start Time: 3541260
Text: 特动挡门。而且你两第一关是要对称的那种结构，对对对，后几关都是乱的了。对，后几关就得不停的卡人嘛，这游戏关卡也太多了。对，那应该属于是计时战略游戏那个。对，还有一个对我又想起来一个比较偏的一个那个就是前线，前线前前前前线就是那个小兵就做跟什么月月月供似的小越后。, Start Time: 3560320
Text: 对对，就是八字脚，就是一上来就走出八字脚，然后就出来了奏版，对吗？对，这这游戏就一关。这游戏就是说你就说你运气好，你能碰上大坦克，运气爆炸，像小坦坦克坦坦克，你看跟小真似的，就像小坦克，你的背景打大明跳炸，大坦克，你被炸弹不对对对，你该跳跳出来。对，还能再修再跳回去。, Start Time: 3584070
Text: 对对对对，嘚根嘚根哥根。对对，这个街机版平台，因为他街机版它是两个摇杆，一个是控制方向，一个控制瞄准的。然后这个红白机乐版直接做成叫直那打打，那会有点简单不少。对，而且呃他那个扔雷那个路线特别诡异，就扔出一个弧线。而且而且他那个游戏没有背景音乐，就就是生效。, Start Time: 3602150
Text: 那对对对，就是哒哒哒哒哒打哒打这档这档这档就是这样的。然后那个打到打到后来应该是有有一个过者桥水敌敌人的一个雷。对对，有一个堡垒，拿那个坦克给他轰下来，应该是打那个。对，咱们再再可以可以再再再多多想几个，就是这种当时玩的比较印象深的，比较这个这这种游戏挖金子，, Start Time: 3620210
Text: 挖金子太难了，我觉得那太难了，那太紧迫了，就是有点那时候玩说话的感觉，老觉得后面有人追我狂不跑挖金子是那个淘金者 load der rener 啊， lod render 是吧？就是那个这这也是那苹果移植的哈，弗酸给移植的啊。那个就是那个你得那个就是挖坑，, Start Time: 3640535
Text: 挖完坑以后，然后把敌人埋进去，然后你从敌人脑袋走，他有有的有人取金了，必须得是踩另外一块砖给他。对，而且必须给他埋上，然后或者直接走过去，你占时间差。对对对，这是挖金子，就是因为他挖金子，他那个反派等于是炸弹人。然后这个挖金子，你把反派是炸弹人，对他反派成炸弹人。, Start Time: 3660670
Text: 你把那第五十关打通了之后，他爬上梯子之后，他上出一字幕，说这个游戏的反派角色不久之后，你会在我们的另一个游戏里面见到他。我去等于就是在炸弹人里面，他就当主角了啊，而且就是说他这个日版日版他的真是炸升人。现在想一想是炸弹人是，然后他日版我一直没反应过来，就是那敌人应该他日本他们这是有一分部曲的淘金者，, Start Time: 3680550
Text: 帝国直升机救难直升机，这为三部曲。然后他这个淘金者时候，他从帝国金库偷完金子之后，第二集等于他就做着那个帝国直升机，就把帝国炸了。第三的时候救难直升机是不是？他就是说开始救这些被帝国俘虏，那些战士们还是三部曲是吧？他就是因为他这三个游戏分布，他这番游戏在美国是一夜功夫做，, Start Time: 3703670
Text: 是出那个是出那个游戏公司，忘记没有办法是出他那个，反正他那 logo 就跟放小元宝似的，对着是那个。它每一版其实是三部没有任何关联感。因为是日本引引进过来说他给编比，比如为了宣传这么编了一个连贯的故事，三部曲对，炸炸弹人好香炸炸弹人。我爸现在都在玩炸弹人，, Start Time: 3724590
Text: 我爸那会儿玩的也特好啊。我记得那会儿特印象特深一个事儿，就是我们晚上吃完饭以后吧，七八点钟，然后再玩电子游戏。我他也在玩了一会儿，然后过了一会儿呢，那个我爸我妈就过来玩，我爸玩炸弹人玩的特好，然后等夜里我十点多睡觉了。然后呢，我爸就把那游戏机搬到他们那屋里边，, Start Time: 3744220
Text: 嗯，然后玩了一晚上，然后玩到后来说是能打一个特长的那种，就是那个炸弹爆着特长的一条火花。然后呢我是有人翻杀戮战场啊。对，有一个直播间里的那个姚，我发了一个这个图，这是杀戮战场。什么杀戮战争 feel 的湃，就是特别喜欢玩这游戏，特别特别喜欢他。这背景音乐是那个战场上那女武神就瓦格纳那尼不松根指环里的音乐。, Start Time: 3763340
Text: 这这游戏就是说他阶机也出过一个，但街机的颜色没有这个看那么环保。这这游戏就是说他零四年玩零五年，他在日本手机上也出过一版续作是唯一的续作。但是说他的主题比如翻国了，你控制就是说蜀国武将就是控制这个，然后那个打董卓哦哦，他瞄瞄准特别玩儿，特有意思。对，瞄准，, Start Time: 3787260
Text: 而且还能派兵补货。是对对对，有点战略的那感觉这是百度 compcompf c 贴吧，里边就是被大家询问的次数最多的游戏哦，都快置顶了。这个一般都一般就是说有一个游戏小米儿想不起来，尤其有个小雷达。对对，就是杀戮战场，我们管这叫 UFO。小时候管这个嗯还有呃还哎那个古巴战士，, Start Time: 3809570
Text: 五八战士和托运是一个游戏吗？不不是，当时是一个公司，是一个公司做，但不是一个游戏。他们那个战场之狼是不是和那个战场之狼和怒伍应该是一个不是战场之王，是卡普通的，反正反正就是古巴战士怒什么托运，还有什么？这几个是一公司，对，这几个就是埃 FNK 战争系列。对对对，, Start Time: 3833605
Text: 就是啊对对对，然后他们不是还弄了一个那个什么什么陆战队，后来不是去怒拉尔夫，他们不是去，尤其是九九七拉尔夫姆三代，实际上你原下暂停了，你看名字就是拉尔夫跟克拉拉尔夫克阿夫夫克。对对对对，后来不就去参加打那个打那个拳皇那个大赛去了。但是呢哈迪伦那是他们为游戏现编的为拳王现编的啊啊，, Start Time: 3852840
Text: 就托运是出出过几座，应该托运冲过一座。但咱们这儿把那个把九龙贸易出的 cross fire 给当成托鱼二了，然后又把那个不可能完成任务的电视剧版给当成托育三啊，因为这都是咱们这湖编的托狱二和三。对，反正军事类游戏除这几个，我还记得有一个人间兵器，人间兵器，, Start Time: 3872855
Text: 这个是学的南梦宫的滚雷行动。但是只不过就说他他把人间兵器，他的那个时代背景给设置成去那个南美了。所以他那建筑都是那种南美的那些雕塑，对上来，是在森林里面。对对，那雨林里。对对对，然后那个也能调密记调密密能能直接能调到最后一关。那个传送带的传送带那关是第七关，, Start Time: 3898030
Text: 完了就是第八关是进的那个毒贩的那个宫殿。但实际之后你发现最后报的就是给你派任务的那个将军，那个是卡普工做的吧，卡普空空一个是这个，还有一个是那个上尉密令，就是那个商尉密令是西魔复活是吧，对吧？两个名是西魔复活，西魔复活，他是跟那个战场之狼能连一起战场之狼，, Start Time: 3917630
Text: 那主人公叫超级桥。所以你西魔复活里面你要救那人就是超级桥。对，是上位密令，是不是就是那个名将，还是应该是就是是不是商？你说那个就是那个就是卡姆工令，不是那个那个其实他他咱们这国内把这两个名字给。对对对对，弄错好像就是容易弄错了，这个名字等于就是 data，, Start Time: 3935430
Text: 意思就是他做的这个咱这翻译叫上尉密令这个游戏，他原名应该叫美国商尉与复仇者。你 EP 控就是呢你能控制，就是说美国商尉和鹰眼。假如你过场动画里面会出现满大人，把钢铁侠，还有商间兵器，这两个人给打倒了，你就过你就过来救他们。最后那个最后那里面登场反派也挺多的，, Start Time: 3953780
Text: 像那个纳粹红骷髅，还有满大人，就是就是漫画里那部。对，然后还有那个红骷髅手下交叉鼓，这些人都出现了。你知道当时我玩这个游戏是升尉密令啊，不是说就是人间兵器和那个捍卫战士，还有一个叫做什么什么什么中途岛上战争什么，反正一个飞机就是你看见一个追尾视角，看见一个飞机好像是叫做什么这么卫士，, Start Time: 3973040
Text: 就是呃捍卫战士，你不是第一人称的吗？是看见那个准追机艇，看见那个那个机舱里面的，就是我玩的是那个是就是你就是看见一个飞，好像就是叫叫做什么中途岛海战，还是叫做你飞机，是不是它它是你追哪一下，然后就是他能够有一个前有一准星瞄准的准星瞄准那个是那个那个那叫什么冲破火网，, Start Time: 3997890
Text: 那是那个叫 after 波。那对那个是这个我还真记，那是那双 ffort 给那个就是那双 ft 从世家上的移植到航班机机，反正是这这几个游戏，然后还有一个还有对还有一个什么 u 五七幺潜艇，有这么一个游戏。你你 u 五七幺潜艇是不是那个虽然看他利那猎杀红色，, Start Time: 4016990
Text: 十月应应是是该是是那个。对对，反正是控制潜艇的一个游戏，反正我这四个游戏在一个坎上。然后我有一段时间我就在家在家里玩这个。然后那会儿我记得好像是快快考快考快考高考高中了，上高中了。然后那个父母不让在家玩游戏，然后放假的时候嘛，自己偷偷玩儿偷偷玩。然后那个那会儿家里住楼房没电梯，, Start Time: 4036250
Text: 然后就听见当当当上楼的声音，然后就赶紧腾腾腾腾把电视藏，把那个游戏机、电视全都藏好了，然后把电视藏好了，还行。电视电视当时得好住电视，电电视机得盖住，电视得盖住，然后游戏机赶紧把线拔下来，放摸一下，后边就就露馅了。但是对，但是后来我爸发现这个事情了，就开始去摸那个摸那电视，, Start Time: 4057800
Text: 然后说是不是玩玩游游戏了了。我说没那个热热。对，家里温度四十八热。对你看三十六七度的这么热，我看其实也有朋友发那美版的游戏口袋中的妖怪，对，个是克拉米是吧？这个我们好像那会儿叫做鬼王。对，有点鬼王摸摸鬼电园什么的，就是我就是口袋里的鬼嘛，就是那个这个这个游戏挺酷的，, Start Time: 4076160
Text: 这个两个敌人，两个人，弗兰肯斯坦和那个德拉克拉。对对对，这个打出去的那个就是带一条光那种，然后也是在什么微观世界跟副士家站里住。对对对对，也是在什么盘子啊，什么冰箱什么的，什么冰箱啊，什么水龙头啊，这也是在这个世界上面去打，等于就是这游戏就是说它只是北美发行，, Start Time: 4096240
Text: 就是因为就是说说即是作为就是六大第三方，他们每年发射游戏也是多少有限制的。所以就说克拉米为了逃过这个，他们在北美又成立了一个公司，叫创就是专门发行，就是他们自己做那个游戏，所以是美版正神规，就是这公司给发的。还有一有这个游戏，但其实是拉拉自自己的对他们自己做的。, Start Time: 4114670
Text: 他们只不过就是就是成立了一个新成序，有都是是小公司。当时这小公司发的游戏对，都是为了逃利币这个任天堂的这个恶恶的审制制度。嗯，对，然后还有一个呃还有一个也是那会儿玩的一个挺挺那个挺挺怪的。一个是呃叫叫做什么，反正就就是叫做网球。然后一直都说那个就是两个人打网球的一个游戏，, Start Time: 4135470
Text: 然后都说那个裁判是马里奥，嗯，裁判确实是马里奥确实是马里奥是吗？但是那会儿那会儿就是看不出来，但是他们都说那个就是马里奥。你玩那 aupunchl out 那拳击里面，马里奥他也是裁判，那也是对他穿一黑白条裁裁裁判服啊，啊，我玩过一个那个什么拳击拳王阿里的一个什么游戏，, Start Time: 4162590
Text: 就是两个人，就是一个人在台台边站站。另另外个人在旁边绕圈打那个就是打拳击的那那那个那种游戏，您是追尾的吗？不是追尾的，就是是能看见人的那人是不是头发有点卷的那种样，然后穿就光膀穿的。记不清楚，真的好像南梦宫的那个价格，肯定肯定是光光膀子，但是出头发什么？记记不清楚，, Start Time: 4180800
Text: 你之前不是说你太爱玩那拼 boo 吗？那里面不是你进入一隐藏关，就出那个马里奥，举着那小孩就就是那个 polo l 哦，我我原来在外边有游戏，叫什么兔宝宝大冒险，你记得吗？我知道这兔宝宝能变小鸭子变狗，好猫变小猫，猫给挠墙。这这游戏它有一个秘诀，就是你你变兔的状态时候，, Start Time: 4198240
Text: 你摁着十字键，中间那圆太兔就能滑行，这还真不知道，但是他好好白玩儿白，还有游乐园什么的，就游乐园那二代那二吗？小猪那边火车特别喜欢玩玩玩画面，老萌了。对我不知道，就是当时咱说了这么多，就是当时你们啊那个是酸奶小猪吧啊这你玩和平行者里面还把这小猪射箭给做进去了。, Start Time: 4218010
Text: 但是说你是你是射的那气型栓的装那些敌兵啊，那那个应该好像我我我买的那个卡上名字叫朱小弟，朱朱小朱小弟，名字猪。然后一上来以后，先是咚咚、咚、咚、咚咚，然后一家人一块儿出去，然后他妈被抢走了又不后。对，然后当当当当当当当当当当当当当当当当当当，那还是这个游戏，, Start Time: 4241430
Text: 还还敲鼓那房猪。对对对对，就是我我不知道，就是当咱咱们了这么多，就是 FC 时代那些一些游戏，还有一些好玩的一些东西。就是当时你们记不记得就是当时那个年代就是家长啊，或者说包括老师啊，什么身边这些人对这个玩电子游戏的这种感觉是什么什么样的。我觉得我我印象中好像当时那会儿，, Start Time: 4260790
Text: 因为就是游戏机这个东西可能也比较新鲜，比较高科技这种感觉。刚一开始进入社会，所以好像就是玩的人其实挺多的，就是几乎上是家家都有那么一部游戏机差不多。那会儿嗯我就我就记得就是但是他们都是持反对态度。我我们班有些同学就是说他学习特别好，他作文写了一句是他们家玩俄罗斯方块的，, Start Time: 4281960
Text: 知道老师表扬了。然后我们班有好多同学都写玩手机，老师就说你们能不能有点新意什么的？嗯，其实我我我觉得好像那会儿就是家长啊什么呃社会整个来讲，对电子游戏对游戏机还好，还算是比较怎么多，就是是正面义还还多一些的。就是我觉得挺接受的，我们家就是一起玩玩，我爸特喜欢欢作还是打游戏？, Start Time: 4306020
Text: 对，是相对，就是家用机跟街机比，就是口碑还好点。对对，因为那会儿我记得经常就是带着这个周末的时候，然后那个我爸我妈就说一块儿玩一会儿吧，然后就拿出来一卡卡玩一会儿是。对，然后那个我我就喜欢想想玩那个超级马里奥，我就想玩这个，然后还是说那个只能一个人玩，他凡一个玩一个俩人玩的对，, Start Time: 4328940
Text: 然后就玩什么魂斗罗呀什么这个呃不这敲冰砖呀什么，就就就就就这这这几个能力，两个人一块玩这游戏。那时候说要去半厅的话，去半天肯定爸妈跟着，或者爸妈就是不太让去，但是不让去，根本就不让去。就我爸会我爸会跟着我一块去，那你没事儿，没事，你接你。然后但是在家里的话，, Start Time: 4349210
Text: 就是随便玩，就就是预计在放那，然后什么时候玩都行，条件太好了。但是嗯这真是条件太好了，你爸跟着你一块儿去。对我都是我妈过去带，偶尔朵回家，对我那调治哥又打我那种防节前防家长、防学校老师三房，那不是还得防那个什么班长告状，什么这种小奸细呗，小奸细对，小奸细，, Start Time: 4367890
Text: 我们班有那种的，我们班有那种就是老师直接就是问谁谁谁，他们经常去哪个厅，什么经常去哪儿去哪儿，然后那个都有人给告诉前面小小班集体里锦锦衣卫对太他们讨厌了，然后农民卫那着，这真是是我家属于老师要说我爸就敢说老师那样的。对我记得那会儿我对我咱刚才我那想我那会儿买了一盘，, Start Time: 4390470
Text: 就是我自己省吃钱俭用，拿自己零花钱买了一盘卡卡，那个买了一盒卡。行，那卡卡买盘游戏卡就是那个叫做七龙珠家庭，就是我这样复合一的那个。对对对对对，就是龙珠一的那卡，那个还有外卖赚四盘卡，然后那盘卡好像得花了两百，呃，好像不止得三百多块钱，应该是三百八是三百六。, Start Time: 4412970
Text: 就那盘卡，就当时算一直放空三百多块钱，而且呃特沉他据说是一个每四个这四个都是两兆的容量。然后把四个两兆的游戏做成这么一盘卡，好像就是已经就说是突破了那个什么 FC 卡的那个就是那个那种什么容量，当然是属于是其实也是盗版卡嘛。当时确实拿在手上感觉特沉那种感觉，, Start Time: 4434410
Text: 而且特别耐玩。在家里你说男孩儿都行，就如果你拿这卡拿着就觉得特洋气错误，特洋洋气。就是其实真的是看到了一个别人买了这么一盘卡，然后自己就省吃俭用，也去买这么一盘卡。而且真的是攒一年的攒一个学期的钱，到了暑假才能买，然后这一个暑假就就可以玩了。对，但是但是霸王大陆，, Start Time: 4455490
Text: 我好像真没怎么真没怎么太太深玩过过为霸王大陆，基本上后来就觉得就是自己玩游戏成熟人基本上都有玩这个经历。对对对对对，但是我我好像确实在那个时期没怎么没怎么玩这个东，而而里面就汉字的量也比较多，就是玩的还不算那么累。对对对对对，你猜懵了都能明白的了。对，而且还是三国背景的嘛，, Start Time: 4477290
Text: 而且那个时候已经有攻略了，关键是在那会儿。呃，对，就是九三九四年那会儿已经可以看到那个 game 集中营了，而且集中营就是创刊号，那个特辑就全都是那三国游戏。对对对对，那儿不一直流传什么，就是调阿惠南什么的，这些调有阿惠南。对是什么？又又是用什什么达成条件了，, Start Time: 4497810
Text: 你说我都我都记不清楚了，反正我想占一个城，但反正是杨芝你能复制出一大堆啊，灰南来对，占一个城，然后怎么着得清空什么的，忘了。对对对对对对，反正那会儿就是到后来就是发现九三九四年那会儿吧，就是一个是游戏机也多了，就是街机也开始多了，然后什么超刃这个这个 MD 都有了。, Start Time: 4519380
Text: 嗯，然后 MD 也便宜了，那个也便宜了。对，然后再往后的话，你到九五九六年那会儿，呃，什么土星、 PS 都对，那个时候就是甚至再往后来电脑电脑都开始出来。哎，先是三 DO 嘛。对对，呃，那个 SNK 那 NUGO，然后土星等等这些东西都出来了。但是 FC 我记得一直到一直到九十年代末，, Start Time: 4542110
Text: 还在出很多的一些新游戏。当然可能大多数都是那种就是国国内厂商改版的一些新的一些游戏。就是可能你你去买还能买到很多的一些，而且全都是中文的。现在在货星还有全都是中文，现在也能买，或者是那那何卡跟牛市新新木金木星都在卖这些，现在应该也便宜了吧，没问价。其实那时候我就觉得就是他有好多那种类似于那种教育软件，, Start Time: 4567930
Text: 就跟现在那种手机应用似的那些东西，咱这都没做盗版。比如像那个中国占星术这游戏戏就给你算命的，算你的配偶似的。你今年的运势什么的哦，然后还有就是还有不是卡带里的吗？也是卡带他那个他那个他开头界面时候倒有一老人仙人主一棍儿那后泡头瀑瀑布那种走在中国，然后他像还有那种小学那种趣味。, Start Time: 4591660
Text: 数学软件一到六年级都有。比如说你玩数学那个，它这上头说一加一等于几，然后这抽一人的嘴，每颗牙上写着数，然后你就画成小钻头。比如说应该等于二，你就钻那二，然后你钻对了，然后他嘴又闭上，你要是没钻断他他脑断裂的出起。那时候我就觉得他的这种工具软件叫特性，一些软件叫描绘卫门。, Start Time: 4615890
Text: 那那游戏软件就说你就是说可以利用里边素材，就编辑音乐编辑那些造型关卡，就是做出一个就重版的射击游戏，就是那个烈火九二嘉年华。那游戏就是说拿这描绘卫门这软件给做出来的这个软件也是卡带。然后对他也卡带的，他后来就是说他在土星上还有 PFV 上也都出过，他们做那种二 d 的射击游戏，, Start Time: 4637190
Text: 三 d 都可以。哎，真的，就是咱没见过没没见过太多的那个正版的 FC 卡带哦，也没见过卡带包装。对对，其实正正版的 FC 卡带，其实它应该也是有一些就是比较丰富的一些那个说明书啊，可能什么赠品啊，什么，像现在这样的，那时候都是大厚本。对对对对对，咱咱们都没见过。, Start Time: 4662180
Text: 就是说你看它基本上它的卡带包装大多数它都是那种小特别特的小纸盒。你像超认，那时候跟贵，他都是这种纸盒。但是南梦宫当时有钱，南梦梦他就做的那种黑色跟大黄袋上这种盒里面。它他这一边是卡带，一边是他有一个槽里面别的说明书，那个他们公司做的其他游戏的宣传单，还有就是这个游戏主题贴纸，, Start Time: 4682345
Text: 你可以附下贴在卡带上。他南梦宫，他有游戏送玩具，像那那像特点那些东西版。对他，但是说那时候他没有说什么分限定版什么的，他但是说买买对，你买过去你就有就是就是先占先得吧，反正就都是就是都是。对，只要是市政版就有。那时候像那按雷蒙做卡来特别多，它卡带上头有一个小红 LED 灯，, Start Time: 4703360
Text: 你运行上的小红灯就会亮，你家这么这么高端啊，装高。对呀，好想要呀，好想要一个我就不要了。哎呦，没见过。对我就我当时就是像那个 SNK 就出自 SNK，那个 KOF 里面不是一女角色雅典娜吗？嗯，所以这也是 SNK 一最早一街机的角色，它的游戏就是在红白机上也移植过，, Start Time: 4722740
Text: 它那游戏盒出的比较大，因为什么大？因为它里面带一条原生的磁带，等于 AB 两边就一各一手取还带限定 CD 的这种。对，是磁带，不是 CD 磁带，嗯，挺挺先进的。现在要搞一个，这么应该也挺值钱的。不过我已经都没录音机了，是吧？不不不，有磁带消磁了。对对对，然后那个你像咱那会儿到后来的话，, Start Time: 4744450
Text: 就是虽然说咱没有什么这些周边啊什么学习软件啊什么的。但是咱有学习机嘛，就咱学学习机，什么女星的浴星。对，然后一个大键盘，然然后个里边也能运行一些什么好行，也能运运一些什么学习软件教育，有画画的，还有人机对话的，对，挺高深的。然后编程的那就是是子子，就是贝子。, Start Time: 4768530
Text: 对对，但是感觉特无聊，特枯燥，感觉那个是吧？但是一到学习这块儿肯定无聊啊。对，有有一些可能比较高端的，还能打打那个打中文，还能对拿尼儿都拿练五笔这小版。对对对对手对对对对对对对对对对对对，好像最早应该还不是什么五比拼音那种。最早好像还有一个根据什么马跟马吧马跟马那个那那那种东西，, Start Time: 4790890
Text: 就是你得拿一张纸去对去对，然后怎么样打两哪个键去打出来一个汉字那种特复杂那个那你要打一么金庸古董啊，累死。对对对对对对。而且现在还有一些还有一种特高深的那种那个 FC 的那个改版机。我见过一个就是就是完全跟掌机一样，自带屏幕那种，然后你可以插一个卡，就哦有有一根天线那个就那种发射的那个啊 game tag 出的。, Start Time: 4814250
Text: 我看现在还有改版，就能直接兼容，就是美版日版就是超认 MDFFC。对对对对对，是什么都能接，那种特高深的，不好好像要出第五代了。广州那边外外包的的，而且我认识的的有有那么几个朋友，还真是一直玩 FC，一直玩到可能一直玩到差不多得玩到 PS 二时期了吧，应该一直一直都在玩。, Start Time: 4837780
Text: 我玩儿到对我一直玩到高三 FC，我爸玩，然后就玩的报复社会首发地，是吧？我爸玩炸弹人就玩坏了，已经玩坏了一个 PSP 了。对，所以其实我觉得就是中间如果断了一点档，其实也没有什么太大问题。就是毕竟你玩 FC 玩了这么多时间，基本上主流的一些类型你都见着。哎，, Start Time: 4858960
Text: 你说女孩坏，你说女孩儿爱玩的适适合在孩玩的游戏，坦克大战，你就还是坦克大战是吧？是呀，等于那是启蒙作呀，我跟我妈玩，通过忍者神龟啊，是吧？我跟我妈那会儿玩到玩魂斗罗二，玩到最后一关，就是那个睡美人那块儿，但是没打过去。我跟我们家老太太玩的是 r type 玩穿，, Start Time: 4878780
Text: 嗯，够高级够难的玩太泰国。那那里面那你那你说就是什么大异形什么的外星生，那那那够我们家老太太过前三关，然后我从第四关开始打我，我侧翻第三关，那大战舰特别长，那个地方那个还河，只要那你绕着走就行。我觉得反正反正说了这么多吧，我们反正现在比较怀念那个 FC 那个时期那个那个感觉啊比较单纯，, Start Time: 4902730
Text: 而且比较简单，比较天真快乐的那种那种感觉。其实我觉得就是你怀旧其实并不一定是真是怀念当时那种东西，其实还是怀念当时那种感觉和那种氛围。现在你就是让我拿三年玩 EVC 游戏，玩的感觉不一样。对你并不是在怀念当时你玩游戏，你是在怀念当时和你玩游戏的那些人。还有当时那些故事，, Start Time: 4928260
Text: 当时那个年代对吧？当时那个你放了暑假以后，无忧虑虑，怀念你自己。对，反正就是跟我一起去家里玩马戏团的那几个女生，玩马戏团的那个女生得多无聊啊。我妈那个宿舍那块，然后对人都骑着你跳那火圈什么的，床上马戏。当时小的时候那个就是在宿舍里嘛，不对，部队大院，然后部队那个有时候我去那个到我母亲那个宿舍里面，, Start Time: 4947700
Text: 母亲呗，跟着我妈那个宿舍那块，不是全是那个他带兵，然后呢，那是士兵的宿舍，士兵宿舍，每个宿舍里都有一个娱乐室，娱乐室里面就是摆的齐齐的板凳和一台电视机。嗯，然后特别牛逼的是电视机底下搁着一 FC，嗯，完了里面只有一盘游戏，就是特别适合解放军玩的游戏，就是绿色兵团，, Start Time: 4975220
Text: 就是这一款你可以玩，但小刀会对别的不喜玩，特别有意思。那就类似于现在他们后来玩那个什么三角洲啊，什么 CS。对对对对，就玩，只是拿这个连来来练练，现在应该都玩 duty 什么的， CODCCFCF 对个变 RCF。对，不是不是有光荣使命吗？光荣使命吗？光荣使命，, Start Time: 4995690
Text: 国产国产国产高科技。对，还有一还有一个 CC，还有一个赌神，那个试试应该是台湾出的吧，不是这个出赌神，那公司特别怪你，都不是你都猜不出这游戏愣是出热血的公司给做的啊啊，是吗？但但是那个游戏可是全中文的呀，那个那就是因为他是给汉化的啊，啊，这个他还有一个续作是在超任上的哦，, Start Time: 5017110
Text: 超刃那边也有人汉化。嗯，对我觉得反正聊了这么多了吧，就是在还是感觉比较怎么说，比较比较怀念那个时代，而且非常比较，我觉得应该还是打玩。作为玩家来讲，应该是还是首先抱着一个感谢，就是感恩，就是当时 SC 那个时期，然后给我们带来这么多多彩彩游戏戏，这么多精彩的任天堂，, Start Time: 5037330
Text: 感谢兼容机的那些厂商。对，主主要还是感感谢国内的这些兼容厂商。我觉得就当时那个时代，其实国内还是有些人，有些厂商在做这个电流器相关的一些东西。对，而且当时其实也养活了一些养活了一些人，很多一些相关的一些产业嘛。你像游戏包机房啊，包括曾经的一些游戏杂志啊，什么这些东西，, Start Time: 5058910
Text: 还有整个福州那片地儿啊。对对，那会儿还可能还没有什么东莞什么这些的是吧？对啊，反总之还是呃大家还是比较比比较怀念呗，怀念，然后也没事儿，现在还可以再捡几个游戏，再玩一玩也没事儿还行。对，什么模拟器也都有，然后 GBA 也能玩，然后 NDS 也能玩， NS 对，, Start Time: 5081650
Text: 都可以玩。实在不行，可以去这个 VU 上买几个那个什么那个对对， VC 游戏也可以玩嘛，比较经典的几个还是有的。对，那总之我们就先聊到这儿成好，那下面也非常感谢那个姐嘉宾嘉宾。对，也非常感谢嘉宾。然后那个九梦是从这个女生的角度来讲，给我们讲讲游戏的这个一些体验。, Start Time: 5106269
Text: 然后安藤老师安藤老爷爷对，作为一个退休老职工还在发挥发挥余力，不不遗不遗余力。然后以后希望经常能过来到家酒这边，给我们多讲一讲一些六十多年前的这样这样的一些故事，对文功武卫扛火枪什么的，保家了边，我躲过江。好，那就感谢大家，然后收听我们这一期加九 pro FC 专题节目。, Start Time: 5127970
Text: 我们今后还会再多聊一些这样的一些话题。好的，有什么想听的，大家也及时的反馈吧。嗯，对对，有什么不足也提出一下，就也也都大家就是改正一下。好好的，那么感谢大家好，再见，拜拜。就感谢一下那个背景 BGM 的提供者啊，就是来自游戏音乐的混音组织 GMR remix，, Start Time: 5153290
Text: 谢谢他们的这个这些优秀的 remix 作品，大家再见。故意加 deo pro。本着高端专业有态度，但没有节操、大气、美观国际化。但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，但是不一定都是对的。专题节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，, Start Time: 5178300
Text: 也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，一一二八幺六八零八，为我们提供更多更好的话题和建议嗯。, Start Time: 5240260
