Text: 他们说的我们聊的都是你们最想玩的，刚知道的才公布的，全是本周最热门的，欢迎收听机核网新闻节目。 judue news， and you don't seem to 你随的所味再去。大家好，欢迎收听新一期的家油游戏新闻节目。我是大家大家好，我是新总部。大家好，, Start Time: 4080
Text: 一开始看很滑稽，但是你看到后面后来哦故事啊、演出啊其实都非常非常厉害。泡泡子也不是喜剧啊，很是很深邃的。是是是抛子子黑色讽刺太太深邃了啊，反正是跟他同世界观象啊，这款游戏叫这个艾瑞啊，四六四三啊，非常棒，是一个俯视角的动作射击游戏。对，嗯，就是也是那主主是爽爽快快节奏啊，, Start Time: 3567940
Text: 非常棒。嗯，最后说一句，这周末我有点打算想去看魁敌二啊，小是嗯哎，说到这个吓我一跳啊，刚才说看了什么电影啊啊，这个因为我确实前段时间很久没去电视看电影啊，对，很很很尴尬，错过很多。然后在这个飞机上就上礼拜在在飞机上把毒液看了啊，哎呀，过了这么长时间把毒液看了啊啊，, Start Time: 3588780
Text: 这个其实就看着很奇怪，我觉得这个电影很奇怪。对，就是包括他们俩之间这个这个这种关系的变化，就情感的变化就就挺挺奇怪的，就跟跟一 MV 似的。对对对对对，反正就是打嘛，是大家打。对，然后毒液就没什么可说的，就挺一般的。我觉得是啊，然后还看了一个是这个未来的未来嗯啊这个这个戏手手的这个动画啊，, Start Time: 3615970
Text: 因为我之前其实其实我很喜欢他的作品，然后未来未来是当时出的时候，我也很想看。对，呃，在网上也是一直没找到嘛，然后在在飞机上看了也是怎么了，也是有点出乎我的意料啊，是这个贬贬义向的出乎的意料，评价不是很高啊，对，评价确实不太高。因为当时这个动画刚出的时候，然后我看日本那边有很多评价，, Start Time: 3642770
Text: 说这个就是一个戏天手，对于对于自己的这个 fantage 的一种释放。然后当时不是很理解这这么牛逼了，但其实我看了之后没有什么 fttage，你知道吗？其实就是呃这个故事大概讲大大致讲意思就是一个小孩儿成长的故事。嗯，对，就是一个孩子，突然家里又多了一个二胎啊，, Start Time: 3668980
Text: 然后这然后卧操老大成长的故事啊啊，对，这个也也很符合现现在这个中国社会，中国应该中国社会应该看狗十三。对啊，狗狗对这个狗狗十三三十三十三，狗十三，这是我一算是一八年一九年这个电影一八一八，这是一八年。我见过在中国所有华语电影用力最他妈猛的一个电影，而且他而且他是其实应该之前上咋就用到了一八年，, Start Time: 3688860
Text: 太有力量了。嗯，是吗？就是这个片子真是是这叫什么？他那个宣传语调每一次成长都是一场凶杀案。嗯，你去看吧，我不真的不太好形容，就是但我不知道是不是所有人都能理那个看看，就就是个个片子里展现的那个东西。可能因为我看到很多豆瓣的评论，他根本没看看懂。但我这么说有点那个装逼是吧？, Start Time: 3716400
Text: 习惯了，但我真的这么说，我真觉得特大。实力豆瓣的很多人就是就是这个电影在他用特别白描的方式，所以才残酷。就是他拍的特别真实。但是是你你知知道真是是这样的时候，当你反应过来是现实中是这样的事，就这样他特别恐怖怖。然后很多在豆瓣里留言的人，我说他们没看懂，是因为他们没有理解那个片子攻击的就是他们哦，, Start Time: 3738120
Text: 所以他们还他们觉得自己是是观看那个的他所以怎么说，当别人骂你的时候，你不一定能理理解的了。嗯，这个是这个是刻靠这么深刻刻特别有力量的一个电影特别好啊，在我在我心里，这是我在一八年看过最好的话语电影哦，哦哦，比他之前比这个导演之前的作品都要哦，所以他们他可以看逼是吧？, Start Time: 3760020
Text: 哦，我都不敢说，我就把海王看了，我也很想看海王，我现在还没看了，海王二月份才下呢。哦，不是我看了蜘蛛侠真好看，蜘蛛侠太好看了，是吧吧，蜘蛛侠我也没看，我错过了好多年啊，不说了啊，你康复了可以去了，是不？但你别看那种杜比全景声的那个电影院那个阵啊，是对你也别看四的的特蜘蛛侠。, Start Time: 3780320
Text: 我在影院看的时候，他那个就是帧数有点低，是那个电影动画本来就那样。对，这是他的技术啊，音是有点低了，就是他有点他有一些东西下一下像自个动画，那就是可以做了。这个他会他他会在在连贯动的之中中间抽掉。但我觉得如果看之前没有人跟我吹那么多，说这有多牛逼以外，我可能会看的更开心一点。, Start Time: 3802130
Text: 但我看快蜘蛛侠快看哭了。对，看之前跟我说，跟我就是大很多人给我把这已经吹上天了啊，看的时候略微失望，但肯定是好。但是没有说我我觉得没有他们说的那么好啊，可能是最近这个超级英雄电影特别态，真人版的东西很皮态，嗯，这个东西就是拍的很有新意，特别戏。我又喜欢音乐的朋友说，, Start Time: 3821410
Text: 那部片就是特别逗啊，音乐不用说了，音乐不不用了，音乐音乐这个是这个电影里最好的一部分。嗯，然后当然了配合音乐的画面，但是他就是这个漫画这一点运用的特别好。对啊，就是他这点特别好，我对所有的漫画的东西，就是他把他是一个让漫画动起来，他不是动画片。对，他是一个最红的漫画片。, Start Time: 3839910
Text: 对，或者这么说，大家能不能理解？是是这特特点，什么蜘蛛侠侠的变电影，他这这个现现他这蜘蜘侠侠漫画那种魅力。比如说他那种就是他的说话啊，或者是那个演出。但是我觉得他是真人的改编，其实很多都都没有，就是用到点的事那个劲儿。所以我觉得很多中国的就是非这个迷吧，非这个粉丝以外，, Start Time: 3860340
Text: 大家会觉得说有那么多超级英雄，为什么蜘蛛侠哎，就这么红？对吧其实他算是最红的超级英雄之一吧，最是特点为什么也不是最突出的啊，也不是最帅的设定，也不是最有钱的。对对对，为什么他最红？所以我觉得这部动画电影动漫画电影就很好的让你告诉你说为什么这个角色能这么红的。, Start Time: 3879580
Text: 对，为觉得有那么多的蜘蛛侠，对，就是真的都非常棒啊。因为我不是特别喜欢蜘蛛侠，这个超级英雄都绝对就是属于这看的时候真太感动了。对，当我看完的时候看的时候感觉特别好特别好。我就是单纯觉得这电影本身太好。是的，是嗯反正非非非常棒，故事其实还是一个很老套的。对我觉得故事套路不是成长嘛，, Start Time: 3898620
Text: 但是这个觉觉有标低之分啊，是对吧？就可以跳水标准动作，也有完成整个的这个好坏嘛，对吧？这个大黄蜂我觉得完成的就很方了，开始了始了，对不起，还没去看。对啊，但是都都是这个不敢说，都都是这个规定套路动作，规定动作。但是我觉得这个蜘蛛侠确实完成的非常好，九分的动作。, Start Time: 3917950
Text: 但是我我个人觉得大黄蜂这个完成的就相对于这个怎么讲，这个平凡了一点，平凡一点。然后海王的话，我我不得不说跟罗马罗马说的都是对的，他真的跟游戏 CG 似的，就就那得我震的啊。对，然后就是那个镜头确实一开始一开始看的时候，特新鲜，一个动作作戏，特对炫，特别能感觉到是一个特别新的导演。, Start Time: 3935010
Text: 对，然后看多了之后，就觉得他真的确实有些就是没有把那个力量感审美疲劳表表现出来，就是因为怕那么拍。一开始可能新鲜一开始觉得一开始炫，对对对对对，转到腾全是全是 CG 的镜转转转啊。对，而且他他特别爱用那个大场景转，如果转晕了，有点我在假意境嘛。对，就是那个缩放。, Start Time: 3956890
Text: 对，就就就是就是游戏那一套，你知道吗？就是那个动的就是是我真的非常喜欢主演，所以他而且他演的确实就是里面的演员演的都不错。你喜欢杰森莫法是吧啊，是吧，转动作嘛。对对对对对，按照那个原原著来说，这哥哥俩长反了。是啊，是对，海王应该是一个金金发变演。对对对，他他他那个弟弟是个黑头发。, Start Time: 3977250
Text: 对对对，长发发这样啊，结果结果电影里是走过来来了。你可你你可以看看这演员本人不是是啊特特特好的一大王马马王没问海马王了是吧？现在然后他亮相就是他最最后定定的那一下就成为海王啊。那个架势我特喜欢，虽然就是挺他那个整个那个衣服吧，说实话看多了有点啊怪，但是亮相相时我觉觉得个个视觉那种体验特好。, Start Time: 4000800
Text: 但是看着香啊，那大螃蟹打大龙虾啊，就真是就是有一种这个美国西游记的感觉是你这么说，没错啊，噔噔噔噔，我去，我错出来了。什么叫国际巨星师傅？反正呃还还算满意吧，就是说不是特别差了，海王龙确实不差，差不差，对不差，看着很开心合格的爆米花电影。但是我就是觉得这个温子仁暴露出了一些他的这个劣势和弱点啊，, Start Time: 4023120
Text: 而且我觉得他发挥自己长处的那些场景拍的特好。但是新派导演嘛，你看很多年轻人看的，就就觉得说这个好，他们可能就是玩游戏长大的弱点啊，他们可能像我对那种就是九老老派的那种动作电影的那种情怀。没有，是不想要那种就是凌厉的剪辑啊，可能他们看不懂那个零零年六的好啊，, Start Time: 4052700
Text: 就是觉得说就六的那个简辑看 c 己长大的小孩，就觉得我操这人家也拍成这样，我操那不也挺好嘛。对，可能这个其实就是一个欣赏维度不一样的人，确实是给各有各的出发点不一样。对，当当了那个就是经过电脑修过之后的这个尼可基德曼，就是这个美艳动人啊，这个很不很不错嘛。, Start Time: 4070220
Text: 有当年年轻时候的那个风采是棒 CD 就真好棒。他对可能那个谁阿三哥过去看，说我操，这是尼可迪的吗？糊弄谁呀？我操怎么去壮壮志零零二吧。哎哦对哎，壮志零零。对，是想看活，但那个还不知道什么时候呢。是啊，早上呢估计是可不行，以上就是本周新闻，哎，差不多是这些了，, Start Time: 4088080
Text: 差不多。嗯，然后下周我们年会哎，嗯对，会错过两天的新闻哦。对，下周年会我靠太凑作了，可以打日本。哎嗯然后了电脑打日码，哎，其实用手机就可以打，是没劲。你们是那那么上次年会我们还打打了这个什么是吧？嗯，对，他爸带着带着 PS 开年会，我操。嗯，行，然后那这周的游戏新闻节目就到这儿，, Start Time: 4112320
Text: 哎，给大家的收听，咱们下周再见，拜拜拜拜拜拜。嗯，的嗯是嗯，嗯，这是你。, Start Time: 4136180
