Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。计划新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 然后就是是说还有许多的就是说科幻片啊，我们就才讲啊，就是二零零一太空漫游，那更多科幻片在里边，比如说像人猿星球啊，那么就是那个星球大战、 star trick 或者那个就是 star wars 啊，这些都是在里边有一个类型的内容。但是有一个片子我们是必须要提的这也是在辐射斯的预告片里面出现出现，, Start Time: 3716760
Text: 对不对？ fuile star 嗯啊它来自于是什么的对，这个片子名字叫做原子咖啡厅嗯， item cake item cake AM。他是什么呢？他是美国政府在四五十年代向民众宣传核无害的时候的啊一个宣传片。那要跟你讲啊，这东西没什么可怕的，你知道吗？很荒诞，, Start Time: 3740140
Text: 你现在想起来，你现在想起来，我操全是骗人的，干嘛？没有一点真的呀，这是是。但是当时他为了稳定民众的情绪，因为是就是说从政府层面上来考量的话，我们之前说到核捆绑核核威慑。嗯，如果这天真的到来，我们怎么办？嗯啊防止恐慌，防止恐恐慌。你只能是通过这种方式把它威威降到最低。, Start Time: 3760170
Text: 虽然你知道你在说谎，那么问题就来了。政府明知自己在说谎，政府仍然在说谎，那这是什么？这就是一这就是临默论的理论。对对对对，所以说是我们对于就是这个辐射四里边的各种梗啊，也是超期待的。因为上来就引了一个这么屌的东西啊，他就就是这个逼格又会拔的高高的。对啊，给十分了，, Start Time: 3779410
Text: 给十分上来就给十分啊，那么毕设进步了。对对对，毕设真的进步了。那么就是可能大家不知道的是，就是在辐射的游戏里边引用过，也中国电影也有一席之地哦，是吗？对对对，比如说呢比如说是一部很著名的片子，叫什么呢？妖魔大盗唐人街对这个老片子。对对对对，这个片子就是说妖妖魔大道唐人街。, Start Time: 3800090
Text: 对，这个片子大家可以找找这个片子，名字叫做 big trouble in little china。嗯啊那么在福士三里边有个任务叫 big trouble in big china。对，就是大家致敬这个名字。对对对对，大现在就致敬这部电影，就是说妖魔大盗唐人街呢这个东西呢它是一个大杂烩，, Start Time: 3824950
Text: 嗯，大发挥到什么程度呢？就是说人们通过就是就是美国人吧，嗯对于就是说中国认知来自于什么呢？就是说传统的认识，那么另一方面谁谁小龙嗯，对啊，嗯中国的符号对，中国符号功夫，这这个东叫老。对对，然后就是那个那么就是在美国生活的啊，之前的华人们啊，他们在这儿就是说他的表现他的表征有很多东西，, Start Time: 3840670
Text: 美国人是不理解，那就是神秘的文化隔阂。嗯，对，那么就是说英国大道唐人街这个东西它是一个大杂烩，他把就是说动作喜剧、魔幻奇袍等等等等等等，元素都糅和在里边了。那么他变成了一个什么？他实际上变成一个美国人的东风想象。嗯，啊那就是说想象中国人好像好像应该是这样的，, Start Time: 3865099
Text: 嗯，啊大概就是这意思。对对对，然后就是给给你看一八八宝粥，那中国人看什么玩意啊啊，但是这是存在于他们想象中中的人。嗯嗯，那包括说是如果你说这个是美国人拍给美国人看的中国片子啊，这也无可否负。嗯，但是有一部纯正的中国电影，中国电影被借用在那个辐射桥段里面。这演这部片子的人，, Start Time: 3883440
Text: 他叫林正英，林正英啊。对对，就是僵尸先生啊，香港电影。对对对，僵尸先生。那么就是说它里面有一些有关于僵尸的这样一些设定啊，实际上就是说借鉴了中国传统僵尸的这样一个内容就是吗？对，哇塞，这个太牛逼了，是头一次听说。对，那么就是说这部片子本身就是僵尸先生，在世界影坛上也是有一定地位啊。, Start Time: 3909290
Text: 对，因为它是属于一个僵尸片路片的一个分支类型。那么中国式的僵尸片啊是是一个独独特的这样一个内容啊。 coteam cain 他本人 team can 就是这个林正英电影，就是香港当年那些老香港电影，一个忠实粉丝纪录片。看过很多，比如说港片迷，他在后续的游戏里面，, Start Time: 3935110
Text: 其实也都有他自己自己在呃做辐射的时候，中间他还是在涉及中国的时候，其实是提到了一些有关他当年看看一些香港电影的故事。嗯，他的后续的很多游戏里面，其实梗了很多香港电影。比如后来我们以后会提到他呃在奥秘这个游戏里面他梗了。这个铁拳铁拳大战、独立侠大大战啊，铁壁大战，, Start Time: 3953070
Text: 什么呃，金钟侠这些电影，他都是那个铁拳汉子那个是吗？就是说那一个一个铁匠，他安了两个铁胳膊那个是吗？呃，不不不是，是另一部电影，就是以后我们会提到啊，香港还喜欢看香港的影影，就中会提到香港的就尸会提到就是香港类型片对抗的电影。对香港的类型片。对于就是是那电电这界还有的影响力还是很巨大的。, Start Time: 3974390
Text: 那么就是尤其那那个年代，对那年代代是是个非常典型的。那么同样还有一个就是说是那个中港就是美港合拍的一个吸金师。对，香港的。 leggof seven seven old one pires。那么是把那个就是吸血鬼和中国僵尸概念杂着的杂着到一块儿，那么就是变成一个奇幻恐怖的这样一个冒险片。, Start Time: 3999110
Text: 那发生这个故事的发生情节在于就是湘西啊，中国的西西赶事啊，赶尸尸。嗯，那像辐射里边就是他大量的吸收这样一些港片和就是类似的元素，你可以看到就是 good 的那个是啊它的一些设定，有时候你看起来是矛盾的。对，没错的，没错。嗯，但是呢它实际上是就是说东西方僵尸文化的一个结合合合。, Start Time: 4018750
Text: 你看到就是是也不是僵尸，也不是丧尸，它不是僵尸，也不受丧尸。那就是中国人认为就是说中国的就是传统僵尸，文化化僵尸是可以被控制。对，是可以被控制的，但是西方不是这样。嗯，那同样的就是说西方完全不受控制，完全不受控制。对，但是西方人认为就是说那什么就是僵尸变得快一些，, Start Time: 4041840
Text: 变得敏捷一些，就是这些年在流行。对对对对对啊，它也是代表就是文化思潮这样一个接轨，或者化化文化符这这样一个融合。嗯，啊，尤其是在今天这样的年代，对对对更多的文化融合。对啊，那比方说你像战地三，战地三还是战地四里边的纪念碑，对吗？嗯，啊因为中文纪念碑这个东西是非非扯淡的。, Start Time: 4061040
Text: 对啊，那比就说电影那块儿来讲的话，实际上我们要仔细的说又是一大堆，也是非常困难。就是说今天晚上大家都别走了，但是老白有一个列表对吧？我们可以把这个列表分享在我们这网页下面。对对对，这个我可以再整，我可以再整理一下，包括 g 军也帮助我再校正一下，我们尽量多的把这个因因为电影是一个很重要的元素，, Start Time: 4082300
Text: 那么就是我们今天还没有讲到的东西非常非常多。嗯，包括就是说是就是像沙丘，那么就是伊甸园，那么就包括说是那个关于他的那个人性结构，很重要的就是无音的反派 review without 嗯，啊那么就是包括其他一些 cocodirty hondy 嗯， dirty harry 就是冷丑。, Start Time: 4105420
Text: 嗯，啊那么就是包括说很多还有色情说色情情，我我们还没有讲，包括对色情片，对色情片，但是像申猴这些我们都没有讲，但是他都在辐射的文化元素里占据一席是对对对，很重要的很重要的就是说这个列表我估计就是说全撸下的话，大概一百多部不到的人物。所以你看那个辐射文本量虽然大，, Start Time: 4124280
Text: 但其实对这个言之有物，言之有物。我们说言之对对，制作人也很聪明的把他们所喜欢的这些文化的符号概念也好，然后转换到了些西而妙的物，很巧妙，我操，让你觉得很有意思。对对对，就是说其实而同时这些东西对你来说也很熟悉。对啊，对，文化这东西这样今天在这里做这些节目呢，, Start Time: 4148460
Text: 其实有时候可能还要提一下，因为当辐射游戏，尤其是辐射三到了中国之后，很多玩家一上手就打了很多奇奇怪怪够的，然后就开始玩。他并没有真正的去体会这个游戏所体现出来。文化可能想做这些节目，主要还是让大家真感觉在玩到辐射四的时候啊，先先感受一下制作人想告诉你的东西，, Start Time: 4168580
Text: 我是这么想的啊。那么就是实际上是这样的，就是福州寺现在也是流出有中文化的这样一个对对消息嘛。那么就是对于我们来说，我们之前还曾经讨论过这个问题。那么对于我们来说，文化的隔阂首先能减轻很多。嗯，那么更多更多的就是好处是在于什么？它可以帮助你去理解这里面存在的这像一些价值啊，, Start Time: 4186710
Text: 或者说深埋在表象是之下的这样一些内容啊，包括说是电影，就是电影也好，那文学也好，它的来源对啊，就是他到底了解这些，你就更好能够剖析这个这的思趣。对，让你更了解制作人和这个游戏的思路、思路、对想法，他他到底在想什么？那打个比方说，就好比说是像那个有一部片子叫类人。, Start Time: 4208510
Text: 嗯， minderroid mandroid 是一部短片，那么它是一个科幻片片，这一部片在整个 IMDB 上只有三十个人看的啊，三十个人对， MDB 上只有三十人看过。他就是说他稀少到什么程度呢？就是说 MDB 差点没法给他评分，因为人不够，人不够啊。对，, Start Time: 4231790
Text: 但是他它是一个实验的短片科幻恐怖，但是就福射这帮孙子，就就是这个制作组，就经把这个梗拖进来了，你知道吗？就是他实际上就是 mandy 的这个，他这部片子是一九九三年的。嗯，那么在那个时候，就是说科技还没有发展到非常发达的程度。九三年我们知道九三年科技程度，, Start Time: 4249920
Text: 但是呢就是辐射四里的人造人，这个观点和 mandroid id 有千丝万缕。嗯，对， mandroid，你把前面那个 m 去掉，就是 android android 的 android 人工智能。对啊，人工智能具象为人就是 android。 android。, Start Time: 4268490
Text: 对对，那么就是在辐射三里边，那么包括在某定城，你找那个人造人嗯，他的代号就是 mandroid，嗯，又是致敬。对对，就是说这个东西它非常非常的小众，那么就是 MD 部上评分三十个人，评分低到三点八。但是这帮孙子就弄给就能拖进来，对，就能就能干这么多档子事儿。, Start Time: 4282830
Text: 所以说这是这只能是值得佩服。对，厉害厉害，真的厉害太厉害了。对，那么就是说你在这个游戏里，包括福克四发售的时候，我觉得就是说他花了差不多七年的时间来做这个游戏，真正做了大概五年到六年。对，但花七年时间做游戏，我们不能指望说七年玩儿子，这不科科学。但但是我们慢一点玩，, Start Time: 4303430
Text: 我们希望就是说每个真正喜欢辐射人可以慢一点玩，不要就是说着急轻锋枪，不要着急打那个兽机卷轴 mode。对对，别打子就求你们先别打子，求你们就是玩那个个个个玩一年，再再再再打子再打子。就是对对，你先把把本读一遍遍，就是说而这次主机也能打帽子了，很多人肯定上来就上手，, Start Time: 4327840
Text: 就开始拖，肯定是大概率千万别别太磨磨了。对，是这样，就是说那个你记得吧，就是说那个之前咱们那个辐射文章下边有人问说只有我一个人讨厌追着脸嘛。嗯那好多人讨厌打，不不是并不是。对对对对对对对，就是说对于这样的戏戏讲的话话，如我们希希就就说说呃先先们不谈谈于制作组，, Start Time: 4348320
Text: 尊重嗯，真尊重你自己付钱。嗯，你先把它原汁原味的过一遍，然后制作组也不是谈不上不尊重他们自己。现在也开始玩墨子这块啊，是就是说我我的意思是说是什么呢？就是说那个就是低射也好，或者说是那个那个黑曜石也好，或者什么也好。事实上我对于辐射的认知彻底就是发生一个质的变化。, Start Time: 4368580
Text: 是我接触到福射三的文本之后，就是我把它所有文本都过了一遍，那么发现里边信息量实在是太大了。那么这次就是说是哎 momomomog 军这次那个福射斯的文本量据说是多少啊，具体数量有很多说法。但但是呃你除下这个就主角各种就多少句风，多一句对话以外，是要比辐射三多出将近三倍。, Start Time: 4389900
Text: 对，那个就是有两种说法，一种是十一万一千行，一种说法是十七万五千行啊，那么就是这些对话不可能绝对不可能完全体验的啊，啊，这是不可能。对，那么就是在这里边包含着多少信息，那么就是 totohower 自己讲说我他妈玩儿个四百个小时，我还会产生这样的这什么东西，, Start Time: 4410435
Text: 这谁放这儿了，这这要干嘛？这是把我又带到哪儿去，它还会产生这样的疑问。而这还是没有经过再创作之后的这样一个内容。那么 mode 它本身是一个再创作过程啊，他是良好不齐的，但是就是制作比较精品。对，但是制作方他会把质量把控在一个水准上啊嗯里边包括精品。那么我们看到更好的辐射的时候，, Start Time: 4431400
Text: 我们可以带着欣赏电影的观点来欣赏他。因为这次就是说有了对话，对话有声音了。对啊，主角有声音，主角有声音了。那么就是说他会给你带来感更更强烈的互动感或者代入感。我可以就是说我的期待是什么呢？我在这一部游戏里边看到非常非常多类型片。嗯啊就是对你讲西部片也好，恐怖片也好，, Start Time: 4456500
Text: 那科幻片也好，那么黑色电影也好，他他会给你带来很多很多多样的感受，对他和使命召唤那种带着你看电影那种方式又不一样。这个电影是你你自己进去演演的。对对对对对啊对，没错。对所以说说电影文化这一块，那么就是落回到辐射四来候，我是非常非常希望看到这样的情况。嗯，啊就是对，, Start Time: 4477380
Text: 现在心里还有点虚，还是有点虚，因为没因为 b 社这帮人保密太好了。对对，嗯，但是我非常非常期待你能做到这一点。嗯啊啊快了，快快快一个月的时间，这煎熬快结束束了结束。对对大家听到这些节目的时候，也应该快玩上了。对对对对对对对对对对对对，嗯，那好吧，在安利一三期吗？, Start Time: 4496860
Text: 对对对，我们可能未来还会有三三两三期节目，你确定是两三期吗？嗯，谁知道呢？跟游戏一样，不知道什么时候才能结束啊。对，这个这个这个就是放一星是吗？对对对对对，嗯嗯，比如说我不知道白大是不是我第一次参加这个计算节目，就这么深深欲震啊。对呃，这个其实就是说对于我来就是不管是辐射这个游戏，, Start Time: 4518050
Text: 还是结合这个节目，对于我来说都是能有耐心听这人生体验。我非常高兴能做这个大伙胡扯八扯的对，挺有意思的，对感也挺感谢各位，就是能有耐心听我胡说八道的。对对，那到这儿的话就是大家能确认生存了。对，能确认生存。对对对对，我们下期可能继续带来这个关于科技，科技又是另外一个大的分类了。, Start Time: 4542140
Text: 对对对对，科技这一部分是那个至于的强项，他要大展身手。对对对，那我们期待一下下期节目，然后可能还会有音乐欣赏节目啊。哎，对，我们今天这样，我们休息休息休息休息，大家也休息休息啊。好吧，拜拜。好嘞，拜拜。哎，我说再见啦。啦。 when i'm am low with my frienans，, Start Time: 4565620
Text:  too。爱别为君， we ran roll at in my gaam， really the dreue。, Start Time: 4597250
