Text: 大家好，我叫很很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新。, Start Time: 390
Text: 然后那那个法甚甚至会被那个发展展那个个怎么说说有一些残忍忍的，就所谓谓的那阉割法师的阉割，就是让他们失去这个跟废的沟通的能力。对对对对对对， jungle 就是其实就相当于把他们变成了太的对，所以他龙腾世界里面一直说的这个 trackle 就是被阉割的法师。, Start Time: 3798380
Text: 对嗯，他这个其就就相当于是是把他的魔法性性性给给割割，就就说他无法跟那个复活去沟通了。用一很神奇词呃，为了让大家理解要命的是，他不像说时光之轮里那样，就是你把他 trkle 了之后，他他只是没有魔法，对他失去了人性，就是他失去了感情，他整个人就像一个树人一样。, Start Time: 3817150
Text: 就是你你记得就是那个在在 DAI 里面，嗯，你你你那个不是可以收集那个怪物的一些那个身体碎片，然后制做研究嘛。对，到了 sky 后的以后，那个研究员就换了那个研究员，就是一个圈 trankle 的一个法师。他就是这些人，就是说他们被包括你在那个那个嗯那个第一代 DAO 里会有有，, Start Time: 3838470
Text: 就他们是说话是特别平静的，对他们没有正常人的情感，他们就像是一个活的机器。嗯，啊因为为了就是为了不让恶的情感控制，他们连善良的情感也被阉割掉了。对，所以这其实也是一个很大的点，就是究竟法师应该应不应该被穿口。对，其实 DAA 系列后面有一个情节说穿口是可以被治愈的。, Start Time: 3859930
Text: 是是，但是究竟竟不应该治愈愈是一个个大，因为甚至有很多法师自愿去穿口，对，而不是被迫的。就是他他觉得他不可能会他甚至他不想伤害自己爱的人。对会他这个个害别人不会受受永恒的。但是但是就是佛门可以环存很方便的环俗，他这个基本上就是很难。但是后面那个治愈也是要通通过一些守守法的嗯参见这个小说阿阿斯敦 der 和这个 DAIOK 游戏流程。, Start Time: 3881440
Text: 所以我们刚才把两个很重要的概念就是法师和这个呃圣骑士 templer templer 说了也交代了一下。那么 templer 实际上他上面也是有那个组织的，嗯，也就是教会教会教会 country。对对，其实是一个很很有趣的概念。因为我们都知道， chcountry 肯肯定是基督督教。, Start Time: 3909340
Text: 对，就是一一眼看见 chcountry 就就基督教。因为我们因为他这就是一个主主整主主世世界这么一个世界观嘛，嗯主抛弃了世界而主的新娘 and trusted 回来拯救了。是这这个在在在大家在说，再再跟大家交代一下这个什么叫主抛弃这个世界的。嗯，这是一个比较复复杂的过程，, Start Time: 3927560
Text: 就是我们都讲就是法师是可以可以可以就是跟影界比较亲和的。嗯，然后历史上在龙腾历史上有一个非常伟大的法师帝国，嗯，叫做台湾文明的国帝帝国帝。对对，然后这个这个法师帝国强强到什么界界？就是是当年，这是我说的是 DAO 的设定啊，其实到 DAI 又变了，嗯，也不是变了，, Start Time: 3948260
Text: 就是真相揭示了。嗯，然后他当他当年把这个盛极一时的精灵文明的这个程度，奥拉赞直接路尘掉了。对，然后然后他这个通过他法师的能力，他是一个绝对的奴隶化帝国，就是他用他的奴隶血液作为这个施法的基准。对，然后奴隶主要就是那个精灵，后来对奴隶后来主要就是精灵，他占领了整个大陆，, Start Time: 3970820
Text: 一个非常大的帝国。这些当这一个国家强到这种程度的时候，他的原型是罗马帝国。但罗马帝国没有这这么稳的这个根底，嗯，他已经强到这种程度的时候，那他的统治者们，那些 magiister 魔导师，或者说或者说执政官，他就是他们他们还要做什么呢？就是挑战上帝。对，然后他们用用某些方式就是在 DA 城。, Start Time: 3994110
Text: 对对，在 DAO 里讲是用了好无数个奴隶的鲜血，然后打开了整个这个影界，用实体进入了的界国，然后亲自造访了这个造物主的王座，就是就是那些城。对对，在帝帝城对 CCC 高高 c city 高登层。对，然后他们造访一到了黄金城之后，造物主就离开了教教教会是怎么说？, Start Time: 4016430
Text: 对造物主认为人类的傲慢，嗯，然后造造物主就永远的抛弃了人类，然后黄金城变成了黑之城。对，然后嗯这个这些这些 magistter 就成了第一批的 dark sbnn，就是叫暗翼，或者说黑龙。对， ark 斯就是就其实就涌现嘛。对对对，暗巢他们在这个里面，在龙腾里的定位，, Start Time: 4039750
Text: 类似于魔界里的兽人，这样对，就地底下爬出来的。嗯，然后其实是一帮被污染了的设定。对，所就就这点是后成成个恶魔，嗯，然后他们就是他不断污染染台湾， bter 有一个救神的设定。对，就是台湾 ter 的这个最初的他的血魔法是从几个救神那学到的对呃，就救神就是几条龙型神嘛，, Start Time: 4061600
Text: 我们都知道。然后但是后来就是他们被污染的时候，他们就不断的去寻找那个救神，然后并且去污污染那个魔嗯，使这个救神这条行为成一头腐化的巨龙。对，然后就成为这个对对特 arstistemen。嗯，对 archidemen 就是大恶魔嘛。其实其实龙腾有一个很重要的概念，, Start Time: 4082980
Text: 就是要堕落啊，就是腐化堕落，就 corruption，就是就是那个恶魔啊去引引诱。那个龙也好，引诱那个呃现在的法师也好，去堕落。嗯嗯，于是其实我们看我们可以看到，就是从这点来说，二史蒂们不断的会带领这些达尔斯王进攻人一次一次，所以一次进攻呢就叫那个枯潮嘛，, Start Time: 4102630
Text: 就 black 就 light 就就就这个很有意思啊， blbllight 很多 RP 级里都有，就包括上古卷轴里也 blbllight，对，就枯萎病翻译译。嗯，那么就是说 bllight 其实就是不孕不育嘛，就是对，然后什么九龙男科医院人那也治不了啊，就是呃就是说世界开始濒临崩溃了。, Start Time: 4125550
Text: 嗯，对，其实 DAO 的故事就是从这儿开始的，就世界第五次的那个 bllight，嗯，嗯，而 bllight 只能由只能由这个 grey warden 来解决。因为 grey worden 嗯，他他们是喝过暗疫的血的，他们其实也是半暗意。嗯，对，他们可以斩杀。, Start Time: 4146330
Text: 对二十 d 们。然后 gray warden 其实就应该叫那个呃灰袍护卫灰灰袍、护卫护袍、守卫者。对，就是他们的 logo 其实就是那个有一个回音，回音不是回音，是是施鹫吧。对，救施救是施救兽施救过去是 gray worden 的，就是是说坐骑骑所来，你那个个起 DDAI 里头那个那个 black black black wall，, Start Time: 4162460
Text: 但他就是一 gray wden den。他那个塔罗牌到后面就变成就是他其实一直那个施救。对他其实施救。然后所有 gray wden den 的遗迹里都是那个雕像，也都是那个施救。对对对，施救是一个非常重要的一个视觉元素。对， gray worden 嘛。对他们盾牌啊，, Start Time: 4183500
Text: 他们的盔甲包，包括的那个头盔两边牌，还有一个翼。对对对对，为什么说龙腾的世界观黑暗的就是因为不论是枯潮还是法师，这两点都是人类的原罪。对，就是人类因为自己的傲慢诞生了枯潮。其实法师这个东西，他虽然说是说虽然说是有一特特殊的东西，但他其类也是因为人类的原头那个会出现这种情况。, Start Time: 4200180
Text: 嗯，所以这个最后就形成了安教，安卓斯帝教的这个神话体系， adjust standjusty 教他他他就是围绕着一个原罪，对对，基督教很像。对这个但这个教呢呃，可以认为是那个 selda 上那个最大的那个教，而且是被控制，主要控制是就是就是南边的那几个王国主。, Start Time: 4222770
Text: 对，所以被誉为国教，对他整人，人类在的地方基本都有安教，其除了了了了 taventer， taventer 是黑色的教。对对他们，但他就不能叫叫教主，因为为安教是对对不对？对他他们他们这个我记得是他和呃，那个多利安有个对话。对， justd AI 里面他多利安解释过，, Start Time: 4243590
Text: 他说就是他们也认，但是他不认不奉为教教皇。当时安 adresstjusty 只是一个历史上真实存在的人物啊，这这就对他们的关系，类似于穆斯林对基督的的关解示不一样样穆林林为基基督是个先知，不是。对对对，类似于不是救世主，对，这这就是差异。但是他们也有教会，, Start Time: 4262250
Text: 嗯，而且这个很多也有圣殿骑士，没错，也有嗯，他他的这个形式也有类似的地方。可可见就是这是这个类基督教国家，是整个这个世界最大的一个宗教。对对，然后他也是这个这个世界的这个起源吧，相当于就是我这个起源，指的不是他真正的起源，而是我们从这块儿开始来了解这个世界。, Start Time: 4280770
Text: 对，龙腾有一点很有意思，就是嗯虽然我们知道这些东西，但他都是教会说的，都不一定是真实的目的。因为教会有他自己的目的，对他有他自己的立场。或者说过了几千年上千年之后，整个传说流流流传的这个路径也会产生变化。对农城里任何一个东西都是这样的。所以我们刚才其实就着重讲了几个组织的关系啊，, Start Time: 4303740
Text: 就是教会呃其实教属下的那个圣圣骑士。对，然后呃其实法师也有个组织叫法环对 circirccirccle 的法环。所以然后再再有这个灰袍护卫团那个护卫卫队者， DAO 里你担任的那个对就 DAO。对你扮演的就是一开始就是说你你歃血下属就成为为誓，成为一一对枯袍护卫来对抗哭潮。, Start Time: 4328810
Text: 因为为尔威顿只有一个目的，就是阻止枯潮。对他们的存在意义，只有这个，但枯潮不存在的时候，他们就是多余了就消失了。优异活里的黑袍袍还可以。对对对，就是长长城上的的个法，对它是存在，但是它的存在感就会变得很低。它可以去造访一下 black wall 在 DAI 里。, Start Time: 4354030
Text: 对，前期真是就不知道自己在做什么。对，那米表已经失去迷茫，就真的跟黑黑黑一夜人人像像。对对，冰火里面。对对对，那这个那我们这个刚既然提到这黑衣守夜人人的话，咱就就可以稍微比较一下，就冰火这个设定就是龙腾世纪这个设定和其他这些奇幻作品他们设定比较了呢。嗯，那所以您觉得你就就是就是这个这个拿破仑一世，, Start Time: 4373620
Text: 你觉得这个他跟那个之前我们是人兽已经说嘛，说你觉得跟就是指环王基本上算是一个完全是断绝关系，这感觉吧有点呃绝不是没有任何一个奇幻，跟指环王是断绝关系，就是没有任何一个史老喜欢跟指环王是断绝关系，而且龙腾里面有很多借鉴指环王的东西确实都能看到。比如说 dark spone 指环王，, Start Time: 4399540
Text: 就是我们第一次看到龙腾，就是感觉就是指环王式的故事。强兽人就是一个漫天遍野的兽人，在一个很邪恶的 leader 领导下，对，然后进攻进攻全世界。对，这是一个这样这种标准的世件。但是他在这个龙腾的价值是什么？就是他不仅是这个故事，他他他 DO 他在这个故事的基础上，, Start Time: 4420380
Text: 他开始介绍这个这个世界的点点滴滴，嗯，然后介绍这个世界的政治啊、经济啊等等，然后引出一些别的矛盾，比如精灵和人类的矛盾呀。对，比如法师跟圣殿骑士的矛盾，矮人自己内部的矛盾，对这个结构比指环王更加丰富一些。对，这也是现代奇幻的一个特点，确实嗯非常丰富。而且就是说它不同的国家，, Start Time: 4443620
Text: 不同的政治势力，不同的团体、不同的组织，甚至不同的那个呃个人之间，他们的很多冲突其实是非常有现代寓意的。对对，像现代人的困境是很像。对对，它就是一个比较丰富的层次嘛，就是不同的。因为根据你不同的身份 identity，你会有不同的立场。对，这个是这些复杂立场结合在一起，, Start Time: 4466970
Text: 就变成你一个个人的立场了。对对，所以这个就是我觉得说现在它作为一款游戏的设定呢，它很时髦的地方，或者说让人比较好代入的地方。就是说虽然是一个奇幻的设定，是一个不存在的世界。对，就是你能理解它为什么会痛苦，因为它的痛苦跟你现实中的痛苦很像。对，就是如果大家就是看奇幻小说比较多的话，, Start Time: 4486550
Text: 都知道近几年最重要的是冰与火之歌。嗯，就是它是一个新时代奇幻的一个代表。就是其实龙腾腾他有哪一点借鉴冰与火之歌，或者说新的史诗奇幻？对，就是冰与火之歌之后的史诗奇幻，他就就是他像冰与火之歌一样，就是局限了你的这个视角。嗯，你你的视角只是就是你看到了信，他只是的每一个人，, Start Time: 4507790
Text: 他他的视角只是只是很有限。不像说你玩 DND 的时候，你你看设定书，他就是真的上线视角是直接上帝上帝视角。这个你看比方说你大家有没有看过，就是可能玩过龙腾呢？就是经常看 codex，就是他那个百科都看，大部分 codex 都是一个叫杰威提尼修士写的。嗯，然后这个修饰本身在 DAO 里也会遇遇到。, Start Time: 4530940
Text: 但是他的这个他的这个他只是一个历史学家，他他的这个视角不是全面的。所以 DADA 有一个很有意思的地方，就是你 DAO 的时候，你的观点是这样的。然后 DDA 的时候，你开始刷新一部分三观。对，然后 DAA 的时候，你三观开始崩溃，然后到 DDDADA 四的时候，, Start Time: 4552600
Text: 我就不知道是什么呀，这个其实也是很很盾的呀。所是你切历史都是现代史。对，就是没有每个人嘴里说出来的，可能都有一个版本，真相是什么呢？不知道，但是没关系，就是你你你你其你你可以有自己的观点。对，这点是跟现代奇幻的这个风格非常像。还有一点，他比较打破传统的就是 DNO，, Start Time: 4570000
Text: 是不不会说完全突出奇幻这个概念完全给一些新的名词或者概念，他用的还是精灵矮人，兽人兽人可能能没有兽人，兽人相当于克 dokone。对，但是精灵矮人都不是我们认识这个精灵，矮人是是就是精。我们先说 DNI 里见过的精灵是什么样子， DNI 里的精灵完全是一个犹太人，, Start Time: 4591190
Text: 或者说游牧民族就四处迁徙。对，这是这是这是 doxx。对，但是那个森森林里的那只对城市精灵是更惨的。对，城市精灵是奴嘛。对，城市奴隶嘛，他你记得在东宫那场戏，就是有一个有一个精灵奴隶，还会跟你说那个请求你帮他。但是变成了就是人人类观观人，那其实其实就是在南塞，, Start Time: 4615030
Text: 就是在安教白。安教白就是类似于呃大陆大陆版的天主教版的对， josty 教的地地盘。嗯，精灵倒不是说完全的奴隶，但是他绝对是二等公民，就是你只能从事一些第阶层、低阶层，比如说仆人这种工作。但是在北安就是台湾的与 imperor 的地盘里，它就完全就是努力，, Start Time: 4638180
Text: 然后努力这个精灵跟我们就跟指环王系列，甚至说跟龙比帝啊，就是高贵的掌者种族。对啊，精灵都是帅哥，美女永永远不会死。没事儿比较像。对对对，跟跟猎魔人，对，跟猎魔人比较像。我当年第一次玩专点一只 organ 时候，我就是我喜欢炊测特催催测嘛，然后然后我就扮演的精灵，, Start Time: 4659260
Text: 然后当的这个城市精灵，结果一玩起源，我整个人都都不行了。三观精灵到处被人鄙视，人家里家里冷婚婚姻的时候，老婆被人抢了催民。对，然后后那个特别悲惨。对，但是在那个感觉是很还有矮人，矮人的差异也是非常大的。我们 DND 里头，我们看那个 DND 那期节目或者怎么着，, Start Time: 4680400
Text: 我们对矮人的印象可能说都是这种高大的苏格兰人，不不是高大的血人，矮小矮小的强壮的苏格兰。对，就类似于苏格兰人，又又又点吃血害害冒猫又卖酒。对，又又又能打，但是他们就锻造的很强。你看对对，都是零溪流，然后或者在就是魔界里的贪婪有这么个特性。对，但是 DAA 里头他有一个完全不同的性，, Start Time: 4702890
Text: 就是矮人都是政治家。对，这个非常奇怪，矮人矮人在 DAO 里的这个。对，因为在传统就矮人，一般就是肌肉发达，头脑比较简单的那个我觉得是。而且他们情愿在自己的地下世界生存，不太愿意跟地上的精灵啊，人类打交道。而且矮人和精灵是世仇嘛。对对对，一般都是邪恶，一般的关系都不怎么和谐。, Start Time: 4726310
Text: 对，这个在在 DAADNA 系列里矮人跟那个邪恶邪恶的台湾特 ner imure 是很好的关系。对，也因为他是成长，一个就是交易利瑞姆的这么一个作用。他同时他有因为说矮人主要的作用就是我们刚才说到那个雷瑞姆有一个矿嘛。对，就是他去开矿开采啊，然后这种矿呢是一个其实看上去就是在游戏里是像一种晶体元素一样啊，, Start Time: 4746210
Text: 蓝色的、红色的。对对对，一般普通的是蓝色的，最珍贵的就是红色的，而且红色的能量非常大。那么矮人开采这个矿，他们就做生意嘛，然后自己的商会啊什么的，所以他们很发达，而而且而且矮人他还有一个特点，矮人他不会做梦吧。这里头矮人不是会很多的矿界是完全就没有。所以说他完全对是是一很可疑的。, Start Time: 4770700
Text: 就矮人不信大部分矮人不信暗降，大部分矮人信他们的石头。对对，他们有一个特祖成。对对对，因为他们是传说从石头出来，但是也有那个粉粉丝说，这可可能就是从瑞 m 来的，利瑞姆那个矿啊矿来的。然后呃矮人矮人本本身那个他们有一个还有一个很重要的概念，就 deep 的对啊，, Start Time: 4790620
Text: 就是他们其实在整个塞大斯下面挖了很多很多的矿坑，嗯，啊矿坑纵横交错，可以把各个地方都联系起来。嗯，但是他们呢，因为这个就是跟魔戒有点像，就矮人，因为贪人挖的太深。对，所以很容易就不小心把邪恶把达达克棒挖出来。而且因为他们挖的深呢，他们有的时候矮人真的就是会不孕孕育育是是是他们面临一个种族兵临，, Start Time: 4811120
Text: 所以矮人现在就是他其实是局限在他其实是第一个第一个抵抗 rodardark ppoone 的种族。对，因为他他直面对他，然后所以他现在也只剩下两个大的城邦。对，但是每个城邦之间这个属于权力斗争，非政治派系特复复杂，然后有有七个阶层种性质的。然后我们玩起源有一个很大的感觉，, Start Time: 4834350
Text: 就是我们第一次看到一个一个种族里头有有两个有两个有两个阶级。对，这就是在矮人的设定里。对我觉得咱们咱们这个设定什么的，基本上基本的也就交代也差不多了。那咱们就就最后最最后就是最后一个话题，就是咱们就稍微为了引出下一期。对对，聊一下，就是大家简单聊聊，大家最初怎么喜欢上 DNA 这个系列的吧。, Start Time: 4858170
Text: 插包老师行啊，插包老师不要叫我老师。其实其实因为我那个要叫门国王大人是吧？哎，然后 DAA 其实非常非常早就公布了。大家如果还记得的话，零四年对其实比 mysie 的公布的还早。对，但是它最初的那个设定图跟现在我们看到 ed DA 非常不一样。说穿了最早实际上就跟 edge 就是一个 bioy 的精神续作。, Start Time: 4880375
Text: 嗯，就是 LOY 觉得我不能用伯德之门了，那我就自己做一个奇划类的作品。对对对，然后自己去做设电影，自己写语言等等。所以其实 DA 为什么设定这么复杂？其实是因为做了很久的。所以我的最早接触上其实就是因为真的等了太多年啊，然后当那个应该是零九年吧，那个 origin 刚真正出来的时候，, Start Time: 4905150
Text: 对，其实实最早非常不一样了啊，它已经变成了一个呃有自己个性。虽然还有一点伯德之门的影子，但有自己个性的东西啊，具体是什么？我们下期说嗯好嗯，我个人最初接触 DAA 是因为我记得当时念了，就是在论坛上某个论坛上念到一行文字，就是说呃 dragon age，这龙之之世龙之纪，, Start Time: 4925630
Text: 元龙或者龙纪这一季其实是这个这个一个庞大世界中间的某个纪元。然后他是因为当时那个龙曾经一度在这个整整个世界消失过，然后后来又重新又发现了 hiad dragon 出现了，所以这个纪元被教会命名龙之世纪。我当时就念到这一行，我就觉得这整个就是一个牛逼，很宏大的一个设定就出来了。, Start Time: 4946000
Text: 当时就觉得这个东西你看就是冰火之歌也不是就龙就消失了嘛。就就是就是这种大的这种 high fantasy 的感觉，就一下子就就出来。当时而且看到了一张图，就是呃一群辉煌守护者用火在烧那个 dark bone。对，就当时那个游戏我具体我真的完全不了解，当时也没有怎么接入过这样类型游戏。, Start Time: 4966500
Text: 所以后来听说这后来就一直很期待这样一个作品。然后后来就是过了几个月，这个游戏出来就开始玩的时候，就开始我选人类。然后后是在经历一个非常悲惨的故事之后，对，然后就是觉得我槽太神了，就是当当时真的是恨死。当就是你你加上被害的时候，真的当时都恨的牙痒痒，就是那种。, Start Time: 4985760
Text: 对，所以说就是那那个时候就开始就进了这个坑，再也没有爬出来过了。对我是一个其实我是一个龙腾腾老类家，但我不是一个个不是个个 RPG 的玩家家，或者说西方 RPG 的老玩家。我其实第一款真正打通了希方 RPG，就是 dragon 这种件哦，而且就是在零九年的十一月十二月嗯，, Start Time: 5005890
Text: 其实在他发售之前，我是完全没有没有这个概念的。嗯，我之前买过吴东买过别的，但是都是没玩下去下去。然后学日式的时候，呃，是无无幻奇奇确是是不好玩，玩无洞，二没动静，可能有点莫名其妙，就是因为你那人跑来跑去啊，中间可能还有需要暂停之类的。可能对我之前只是一个玩玩仙剑四啊那种种种种产游戏戏玩家。, Start Time: 5027090
Text: 然后当时当然我很喜欢奇幻，我大部分奇幻很多奇幻著作我都看过。然后当时我就是看到那个在大众软件上，大众软件上有一个有一个鹰头马奖，然后他把年度最佳游戏游戏给了这个龙腾世纪龙腾世纪起源，因为童童年有那个使命召唤现代战争二嘛。然后当时就觉得这是一款什么样的游戏，, Start Time: 5052030
Text: 然后一看 morregon 的那张那个那个脸，还有他那个风格，我一下就觉得就被被动，然后继玩玩。然后当时就跑到中关村去，花了正版的价钱，买了这些盗版牌，玩来还还被奸上坑了，是吧？伪正正被奸奸之后，呃，这个所以贪婪恶魔已经占据了一的是候，然后玩了他应该是被那个 rage 被狂怒占据了。, Start Time: 5072560
Text: 要复仇是玩了二十个小时，然后试了好几个起源，然后他游戏情节完全不一样，而且代入感超级超级强。当时我就我就现在为止我最喜欢的 RPG 还是龙腾世纪起源这玩意儿。嗯，啊我最后收尾啊，我特我特别肤浅，嗯，我只是在主机上突然发现了一款，我竟然能找回伯德之门，感觉的游戏也很了不起。, Start Time: 5095910
Text: 虽然主机上没有上帝视角，但是他有，但它有暂停。嗯，那我可以调配每个队友的那个他的技能啊之类的东西，我觉得特别了不起。而且这个设定我也特别喜欢，就中世纪那种的。对对对对对，情况嗯，对，所以就是一口气玩下来了。嗯，很简单的，嗯，很简简单。对，所以咱们把不简单的东西留到下一期给大家讲一讲。, Start Time: 5119690
Text: 咱们从起源开始说对下一期。对，从起源开始，我们将会就详细一期一期说说一座一代二点三吧。对对，好吧？嗯，那谢谢大家，这期节目就到这了，谢谢见，再见，拜拜拜拜再见。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，, Start Time: 5143540
Text: 保证会让你耳目一新。嘉德 pro 本着高端专业有态度，但没有节操、大气、美观、国际化，但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，但是不一定都是对的。专题节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。, Start Time: 5168250
Text: 你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，一一二八幺六八零八，为我们提供更多更好的话题和建议。, Start Time: 5210805
