Text: 利息朋友饥饿 APP 终于上线了，激动疯了。 IOS 用户在 app store 中搜索激活二字即可，直接下载，赶紧下别废话。我叫很高兴认识你们。大家好，我是电脑娱众。大家好，我是做索尼电娱娱乐的负责人，天天无人 i 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻聊游戏也能长知识。, Start Time: 150
Text: 没错没错，在实际就是游戏过程中呢，就是像那个太阳长子这条线，呃，是其实是一个很很很重要一个谜团。对，因为他跟很多都有关，就是我三代唯一让我觉得就是很受用的一段是对，包括他那个雷枪的一些技能，就是唯一填坑的一点。我我觉得对，因为就是说像太阳长男这边，当然他也挖了很多新坑。, Start Time: 3632970
Text: 对，就比如说像洛斯里克那些飞龙，首先我们要给观众普及一下，就飞龙和以前一代的古龙并不是一样的，他们英文也是不一样。对，具体英文请见时间轴，对他们代代表龙种是不一样的，古龙是不朽的。然后飞龙是可以，你想你你在古龙顶端，我靠一个跳皮就能把一头龙给干碎。有两个特征就是说在这个黑魂的是世界观里啊，, Start Time: 3657930
Text: 古龙最大特征是岩石皮肤，就岩石皮。我们看到飞龙明显你不不是炎龙之枪。对对对对，再有一点呢就是古龙所有出现过的古龙形象是四界四四四四四四族的飞龙是带翼对，飞龙龙之之。对对，这是比较特明显的特点啊。没错，他很在太阳战士个个呃这个个个石里面面，我呃其实它主要是一个什么样的一个誓约呢？, Start Time: 3680700
Text: 就是说你只要带着太阳辉见那个誓约章，然后你就能够就画那个石色的金色很炫，炫代也不是辅助啊，就是召唤印。对，然后你能够就让别人去把你召唤过去。对，然后他很他主要是牵扯到就是说两个奇迹啊，就是说你能够就获得两个奇迹。然后这两季有一个是太阳之枪，对我觉得对巨雷枪原来是太阳之枪。, Start Time: 3705000
Text: 对，然后他长子也会呃，太阳戈温是太阳之枪，对，太阳太阳枪。对，一旦那个是你献十个徽章，好像是给聚聚雷枪。对，然后献到太阳王那个戈温的魂拿过去，他再给你太阳之枪没错。然后另外一个呢，就是它上面写的是在那个像三把剑一样的，就另外一个魔法，好像是一代没有的讲的是什么？, Start Time: 3727420
Text: 就是他们噬龙的故事，杀龙的故事太见了，就是三三个就是什么他的骑士奇迹迹都是的故故事。对，没错没错没错。然后再这这其中呢，就是有一点是什么呢？就是关于太阳长男，他本身有几点是比较呃跟就是你说彩蛋啊或者他一些细节也好，我们可以来剖析一下。呃，首先是关于你打那个就是无名王者的过程，, Start Time: 3750610
Text: 嗯，就敲钟敲钟之后，然后啪像这一像的各种就种云海的过程，大物物这种这种就过来了。在实际进去打的时候，嗯，你把那个龙就是那个风龙风暴龙，对吧？就种风暴龙。对，干死之后，然后他会呃就把剑插入那个就是风暴龙体位，他会先是低头的这个轻抚这个龙首。对，有的人说觉得说这很残忍，, Start Time: 3774270
Text: 然后他把这个就是他其实不是他有一个很尊敬这个龙的这个表现。对，他是上面有一个有一个道具，上面是说的这是对于呃就是战有那个位置，而且这个动作也许有一点，那个就是一代跟一代王。对，就是想说这个就是王神双击那边呢，就是如不管你是先干掉斯磨，还是那个温斯坦。对，呃，, Start Time: 3799760
Text: 都会他们获得就是旁边那个，但是两边的这个风格完全不一样。对翁文斯坦是很尊敬他的战友，轻跟这个这个太阳章或者说无名之王。对，一个动的动作轻抚之后，然后将这个枪插入，没错，获得力量。那个那个另外那个就是这个撕磨就不是了，他是很残暴的，一拳一锤将这个这个那个猎龙名之了，, Start Time: 3821240
Text: 你是吧？肉你一队，然后再获得力量，所以只有温斯坦是骑士。对对对，太阳长者是太阳长者呢，就是说他有几个就跨的那个几个角色呢，就是这样样，就是在三代里面，然后就是我们之前提到的温斯坦。对，温斯坦，你是能够在打完太阳长者之后，能够拿到他的两件装，就两呃就一个武器和一套装备，, Start Time: 3842065
Text: 打之前就可以对打。这前是武器，就隔着门可以拿到那个枪，拿的武器一把枪。然后打完他之后，然后出去之后能够拿到他的一套装备，然后这边又是一个翻译的坑，我也要稍微提一下。对，就是呃，在中文里面，他说是被无名王者追赶。因为他首先说的是温斯坦在守护教，在守护教王过程被无名之王追赶到古龙顶备。, Start Time: 3865540
Text: 从这一点就能看出，他是从日本翻来的，他算错了，这是日语，是一个被动式态。对，就是他不是说是研制词，我挖了一个就是对对，没错没错没错。然后呃他我们先先故，因为他英文和日文是一个意思。对温对对，我们先先订正一下，他并不是被追到。对，而是追随他是追随无名王者到了古龙顶端的这个上面区别是非常大的。, Start Time: 3888420
Text: 嗯，然后至于到底发生什么，导致了温斯坦死在了上面。嗯嗯，因因为我为什么么常强要死？因为另外一个很重要，觉得哈维尔他没对，然后呃他的信仰他战什么位置，就是在上面，然后那是哈威尔还是哈维尔的骑士，也对这个也说不定。对对，但我想说的是就温斯坦其实是很牛逼的一个角色。, Start Time: 3912090
Text: 是然后他他先他有一些细节，就比如说他武器和身首异处了，嗯，也不能说身首异处就是他武器和盔甲离得很远。对，就是像被打飞了这个对，像打飞了一样这种感觉，然后就不知道到底是什么原因导致这个问题。对，呃，但总之反正是温斯坦应该是死在了古龙顶端这个位置。对，然后呃太阳王者太阳太阳长子就是说他被流放之后，, Start Time: 3930810
Text: 可能就是在就始终是栖息于，或者说始终是待在这个呃就是太就是说古龙这边古龙对古龙古龙顶端这个位置。对，其实古龙之顶这个地方也有一些就是怎么说很不明确的地方很不明确。我们如何来到这个地方？大家都知道，就是说冥想坐在做这个动车之后，然后我们仿佛是只有精神对来到了这个地方。, Start Time: 3955810
Text: 所以说这个地方是还在三代这个世界中现实存在的。还是说通过冥想，我们回溯了古过往的因这个往往昔的某些这个类似于幻梦境的这种场景。对对，因为我们明显能看到这个古龙之顶的这个建所有建筑风格虽然破败，但它完全不是游戏场景。中哥特的这样一个风格和王王都不一样样更更其他风格的这种如罗马风格的对这种感觉的我个人的话更更倾向于就是我们可以在聊就是妖王的时候嗯去聊它啊。, Start Time: 3978000
Text: 对的，因为就的确跟罗斯底的这个信仰的对对对对，跟罗斯里克那边关系太大。因为这上面的飞龙全部都跟洛斯里和飞龙是长得非常非常像是场是一样的，是是是对，所以说他们之间的关系是是什么样的，我们可以后面再聊一下。而且洛斯就是说我们可以就回过来，就是说先说太阳长男，我们把太阳长男就反正先先说完了，, Start Time: 4007180
Text: 太阳长男这一块的剧情基本上就到此为止。嗯，然后我们可以再再下一个制约，我们再把相应的给给确认掉。嗯，以上就是我们对这个魂三这个世界观，旗下各势力各制约他们所代表的这些这些他们的机构啊，他们的这个教派啊，这个分析梳理对他们的目的。嗯，然后接下来下面一期节目呢，, Start Time: 4029630
Text: 我们就会进一步的再从其他的方面，然后对还有一期期对，然后进一步的去考据分析这个魂的这个世界观。对，尽量对对对对，大家呈现这这个更了，他这是代表的这么一个格局。嗯，对，然后重要的 boss，然后还有这个地理位置的区域，对对，有些和一代一代的联系。对对对，放到下一期讲完，, Start Time: 4051310
Text: 这这期我们先这样。好，我们就大大家慢慢慢慢啊 GFM 出品。, Start Time: 4075830
