Text: 大家好，我叫也很高兴认识你们。大家好，我是追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏也能长知识。欢迎收听机核网加九 pro。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新，, Start Time: 270
Text: 嗯，但是后来就是在整个剧情的发展当中，我们会又又会感觉到就是我我们从什败个阶段，你多少又会理解他啊，他这么做是有理由的。如果你是他，你可能也会这么做。嗯，一个是在那个奥塞 ar DLC 里，然后他会有一个会有一个老仆人，然后那个 DLC 主要讲的是重返奥萨卡尔去拿那个凯兰那身黄金甲。, Start Time: 3984380
Text: 对，但是那个老仆人会向你透露露，其实即使洛根驰援了这场仗，也未必能胜对洛根的错误，仅仅是在于他高估了自己的影响力。嗯，且洛根他本来他的他的初衷是什么？他就认为如果要是太倚重 gray worden，那会造成什么结果？ gray wden den 再次战政就像当年一样。, Start Time: 4006930
Text: 而且尤其是如果从奥莱把奥莱的 gray worden 放过来，那又是一百年前，奥莱又入侵过费罗顿。我们在兼兼安意的时候，我们绝对不能能权辱国。对，绝对不能不能忽视这方面威胁。但事实上就是事实证明， black 是一个真正的最主要的威胁，他忽视了这个威胁，对，, Start Time: 4026190
Text: 同时看高了自己对这个诸侯领奖力，他毕竟是一个平民，他他是这个 america 王的好朋友和最好的助手嘛。对他他其实就是国舅嘛，他就是国舅嗯，他的他把他的自己的女儿嫁给了凯兰凯兰国王。然后他把他这一生其实都献给了这个这个费费罗登的事业了。其实他们有的人说就是那个洛 logan 一开始就是想篡位，, Start Time: 4045070
Text: 其实我觉得未必然。因为 logan 在这个 mark 死之后，就是离开之后啊，他未必是死了。离开之后好好多年就属于少主少主少主执政。嗯，他他其实一直是有机会的，但是他从来没有做做这件事。虽然说奥奥斯卡可可能说他自己来嫌疑上很像，但是我觉得最大可能是他发现了这个凯兰王和这个赛琳女皇，, Start Time: 4070000
Text: 也就是奥莱的女皇的书信关系，然后他们之间可能有点奸情，认为这个凯兰王可能会修掉自己的女儿。嗯，其实去去取这个奥莱的嗯啊奥莱的女女皇，可能说他自自己是皇就很脏脏了。但这个我们是可以理解他做什么，但是毕竟他是一个平民出身，他没法召集集整个整个这个贝罗登势势力，, Start Time: 4095700
Text: 于是就展开了内战。嗯，然后更重要的是他自己不是个 greay worden，他把 greay worden den 都解决完了，那谁去杀二十蒂姆？他但许洛根是不知道这件事的。嗯，洛根洛根不知道 greay worden 的重要性，嗯，但是我们可以理解他这么做，, Start Time: 4118990
Text: 但是他这么做绝对是导致他失败的一个很重大的原因。确实所以在就是怎么解怎么处理。洛根包括他女儿诺 ana，诺 ana 很多人都是骂他是那个马玛塔诺机星机表示对，但但其实诺 ana 做的一切事情都是符合政治的规则的，而且都是都是很对的。说说老实话，嗯，但是不不赞同他父亲的，, Start Time: 4132970
Text: 他认他认为他父亲太极端了。但是其实让他来去做一个女王应该是很不错。但是我多玩家觉得他曾经在这个这个这个豪尔的这个就是曾经在我们救他的时候背叛过我们，所以就对对对，当时当时亲父亲就就我们救他时候，对，但是就是直接那个他们，他说赶紧救我，然后就我们碰到那背大剑的那个呃个那个考林斯，, Start Time: 4155810
Text: 觉得考林斯。对，然后他直接说他们想把我带走，赶紧阻止他们。我操，当时我们就就我是，但是其个安诺尔严格意义上还是有后招的。他他走了之后，他会回到英文的府邸，然后再去去寻求这个去寻求解救。他会先先把他当然是把他的利益置于第一位。但是他也是会想到接下来后招去怎么做啊就所以他是一个很合格的政治家，, Start Time: 4180280
Text: 确实就是这两个人的问题上就是 DAO 最大的结局，不就是谁当国王谁当对。所以所以因为这个，所以你把欧洲 a 给取了是吗？啊，是没啥落根。嗯，当然其实严格意义上还是应该杀掉洛根，我是杀了的。因为他的他你可以理解他，但你不能宽宽他他。对，因为太严重了。所以所以我觉得那个 DADAO 的这个呃游戏，, Start Time: 4203560
Text: 就是会让你觉得真正有在那个玩小说改变历史，然后操纵操纵这个历史走向的这个作用。对，就是有点权力的游戏的感觉。对对，他们后面就是这些人还会对后面的剧情产生那么多那么多影响。对，然后这这点我们是非常可以敬佩的。在蓝嗯，当然 DAO 里头也不是说每一个角色都是能做到这种两面性，, Start Time: 4228560
Text: 多面性，像那个号就是一个完全的反派，就是图了主角一家啊，这种就且整得也很刻薄。对，长得也很刻薄，他就会他就会并不是在于说你每一个角色都要做到绝对的多面度，而在于就是各种角色恰好，恰恰在好处，恰到好处。而且整体给你一个体验，就是你说的就是群像的感觉，就感于是一个面对乱世，, Start Time: 4254610
Text: 然后内乱又不断。不仅是你一个人，对，然后每个人的选择，你可以看到他的选择可能是错的，可能是对的对，嗯，经历这一切。对，所以我觉得我们也可以聊聊那个 DAO 的系统吧。对，嗯， AO 的系统的话，嗯，首先就是肯定是伯德之门的影子非常强，尤其是 PC 版。对，, Start Time: 4278650
Text: 多了一个那个视视角。对，就是可以操纵那个队友的策略啊，去去去做更好的配置。但是在主机上就比较差，对主机没有这个视角。对，而且主机的话就是那个友军火力那个默认默认是是关掉的。就 friend day 对，就有可能会去去报警。对对，所以就是这样子的话，就是说呃包括画面当时的那个差距也比较大啊，, Start Time: 4296580
Text: 所以实际上在主机版来说，体验不是最好的，最好的是 PC 版。嗯，而且 PC 版当时我觉得有个系统，就是他那个你可以输输入那命令符，就是你可以让就是选择，比如说当队友啊，就是生命值减于少于百分之五十的时候，然后这是第一句，然后后面一句就是对对，他使用那个某个就是回血的模法。, Start Time: 4321680
Text: 对对，你可是生命员思录的那个。对对对，你要你要对你要用那种那种思路，然后之后你就可以少就是用自己操控，你就是多点自 DAR 里头发展的是比较比较明显。对对对，审判被裂化了这个对对对，但但 d 审判也有一些就是被裂化，就被做的比较简单简单了。对，但 n 一那个真的就是说你有一些甚至就是你可能在论上可以看一下，, Start Time: 4342280
Text: 就是它有你怎么怎么么设设，对对它有一些什么优先值之类。狄仁杰呀，而且 DO 有一个设定特别棒，就是他跨职业联击，还有这种连连连锁季对 campbeo 我们大家最熟悉的世纪风暴。对，都用过吧。就是就是把这个暴风雪跟冰雷暴嗯放到一起，然后一刮就形成一个超大的风暴，, Start Time: 4365650
Text: 然后然后伤害非常非常高个叠交效果，三代里面都有一直有。嗯，对，这是一个系列特色。比如说一个最最简单的把人冰冻起来，一个敲碎，十悬就就打碎，然后给这个游戏提供可玩性，提供了更多深度吧，一种技能上的搭配，对不对？对嗯。而且也更符合那个真实的可能会出现的情况。对对对，, Start Time: 4387150
Text: 而且且这这这这这这这样的话，会让每个就是就职职业职业的搭配会有价值。你不会说啊，我就一个坦克带三个法师之类的。对对，就你可能会多带一些职业，因为这样就是可能能率率高。嗯，而且 DIO 虽然说他就是脱胎自伯德，但是他还是做了一些改动，比如说引入了什么仇恨值啊。, Start Time: 4410190
Text: 嗯，然后这铁三角这系列它比较适合相对来说轻度一些的玩家。对，而且他其实整个职业系统因为也也经过了改变，也更借鉴了许多许多网游的做法。就基本上那个战士型、角色法师型角色盗贼就非常明确，他们的职业定位各自应该扮演的这个作用确实。不过我们还是能看到大量的类乐趣型职业，, Start Time: 4431580
Text: 就是传统 RVG 里头一些没必要加的东西。对对对对对，加了也觉得没什么用，但是就是会好玩多。对，就是很好玩。比如说嗯你说你说变形师对，就是一个 shift，那那个算是那个就是一个职业下面的子子分，那是一个专精。对对对对对，就是我记得可以变成那个什么熊还是什么的吧。, Start Time: 4454320
Text: 熊啊、狼啊。对蜘蛛还有其实不太管用，基本没什么人用 DO 的平衡性。是。但是你想这个是这个是 DND 里面的经典，这德德鲁伊啊，对吧？当然德鲁伊是驯驯化，就是说那个召唤这些野兽来为我所用。对，然后这个 shift 是他自己去变形，但其实都有那个跟野生动物这个交流的这个这个这个形态的。, Start Time: 4474650
Text: 对，还有一个很有意思的职业就是很亮点，职业就是奥法战士打几巴战士。奥法战士好像是要通过特别方式去解锁了。对对，精灵遗迹底下流传下来的东西，对你开始得不过先得做一个布甲，做做一个一段时间，你之后就可以穿板甲了。是，然后还有就是菜，就是血法师嘛，大家都知道血血法师确实做到了，, Start Time: 4498950
Text: 这个职业也很强，设定也很强。对他这个 DNA 里头把设定跟角色联系的非常紧密。对，尤其是法师这个职业，你会有很多很多不同的剧情。比方说你想获得血法师这个职业，你不是不能管队友去要你要在 red cliff，就是赤牙有一段单独的迎界剧剧情，嗯，后最后你就能获得一个真正正强强的这个职业业，, Start Time: 4520270
Text: 然后同时也有很大代价。不过，平时结结过平扩展架，没事牺牲自己队友什么的。实在是有点太缺德啊，对，就是邪恶的魔法呀。嗯，总的来说吧， DAO 这款游戏嗯，我们还是再谈一下这个 DAO 的结局吧，就接他的扩展性是很强很强的。嗯嗯，我我们我们我们大概都在长达六十六十个小时甚至八十个小时。, Start Time: 4542140
Text: 游戏时间之后，嗯，我们能从就是 DAO 的各个各个的小的细节，然后最后扩展成一个一个统一的结局。虽然说我们最最终的归宿都是打败大恶魔，对，然后获得胜利。但是这个世界会被永远的改变了，就是爱人那儿不一样了，精灵的地位不一样了。对，然后整个费罗登的国际政治都不一样了。, Start Time: 4568300
Text: 然后你会感觉到你对龙腾世纪就是这个这个这个世界发感产生了很大的影响。然后这些影响也会在续作里头得到很充分的展现。对，包括那个队友的命运，嗯，对对，队友的命运，嗯，所谓群像塑造就是跟 ME 的差异，就是 ME 的队友最最终还是会在你身边的。对，是道，知道邪佛的为。, Start Time: 4590280
Text: 嗯，对，虽然说他可能会在第二代离开会有一些别的做法，但是你总会再遇见他们，但是 DA 的队友将来是世界的主宰。嗯，就是嗯也许说你在你在你在玩游戏的时候，你不会觉得他们可能就是他不像不像说就是那个段是高帅富，就是这个 MS sive 嗯，他都不是这这种重要的角色。, Start Time: 4615050
Text: 一开始看起来，嗯，但是你会亲眼见证一个个伟人成长的过程。没错，对，也许就是将来在再看后来的小说或者看玩玩 DAI 的时候，他这这一段 DAO 的旅程会成为这些英雄将来一个共同的回忆。嗯，然后然后当那时候你用另外一个主角的是视角去审视这件事的时候，你就你会有一种别别样别样的感受。, Start Time: 4638970
Text: 对，尤其是在 DNI 的时候，你看这雷丽安娜，比如你就觉得他成熟很多了。对，可惜不能退倒。而且你还有机会看见艾莉只关心这个对大量的变化。但是对你后来会发现啊，扎缝成了这个暗呃扎缝，我们没没有怎么提，大家其实玩起来也是一个很有意思的角色。经营刺客嗯嗯成为按压这个刺杀组织的头目。, Start Time: 4664810
Text: 对老大刺客大师，然后雷丽安娜成为了教皇的左右手。对，然后你就会经历于这个世界真正的在变化，而且变得非常快。对，而且你你情感点就作随随，这些队友友在在。而且就就尤其是比如说你牺牲自己的话，这些你这些队友会作为你一个就传奇的延续。因为他们当时见证你这样一个传奇啊，, Start Time: 4688430
Text: 他们自己慢慢也就变成一个传奇。没错。嗯，对，所以说我们后来在 DNI 或者说后来见到这就是在提到 worden 的时候，他不像第二的主角霍克，他是一个具体的人物。嗯， wordden 就是一个传说，对，它是一个精神的一种象征。嗯，你你可以名名，你你可以没没有 worden，, Start Time: 4710470
Text: 也许阿里斯特能解能拯救能拯救这个事件嘛，从故事上来说可能是可以的。对，因为阿里斯坦也是具有很强的主角主角范。当然从那个黑暗编年史那个 DLC 来看是不能的。嗯，因为你可以扮演暗 e 推导，只有阿里斯特的世界。但是但是 worden 的价值在哪？ worden 的价值它就是一个一个一个延续以后，, Start Time: 4731840
Text: 在 DAI 里头你会看到人们因为 worden 是一个野精灵，会对你的你是个野精灵的看法会产生改变。对，人们因为 wordden 在这个赤牙做过的事，然后会保持希望。对，这因这这东东西留留在在个一个的文献里，对对的话里，以及以及雕像里，以及游吟诗人的歌里。, Start Time: 4753280
Text: 对嗯，对，我后来想为什么说 worden den 不能被继承？因为 worden 的变量太多了，每一个玩玩家带入的角色都是完全不同的。对对，这就意味着他所有所有作品都不可能就是有，而且就是要有一个新新的角色。对，而且 DNA 来说的话，实际上他的选择也非常丰富。, Start Time: 4772100
Text: 他有这么多的团体包，其实就像三代 inquiator，其实就重新引入了一个组织。对，那么之前的这个那个如果还是 greay warden 的话，那么比 gregwdden 没有机会去让我们认识到他可能有阴暗的那一面啊，实际上他在他在三代的话，我们会对他的认识又发生改变。, Start Time: 4792350
Text: 对啊，我们一代的时候可能会觉得对 greay worden 多少是自豪的。对我毕竟拯救了这个世界，打败了 RHD 嘛。当然第三代那个预告片不是有一段就是他们攻击那个 greay worden 的点。但是我觉习习惯了疯了，这这 greay wdden 就是不是一个高大全的组织，, Start Time: 4809150
Text: 对他有他的 dark side，所以这才是 jragage。唯一不变的就是不是说去继承角色，而是说这个乱世就是让你的价值观一直在不断的变化。对对，但是他又是有一个恒定的东西。对，又是有你就是还是扮演的是你自己，你还是会有有自己的想法，你你会赞同他，不赞同他，, Start Time: 4824710
Text: 但是最终他就在这儿。对， word den。就是我我我希望就是很多很多玩家都是玩三代，玩下来可能都都对 wordden 具有具有感情。但是我希望大家还是不要说太留念这个角色。对，因为其实我们每一代，我们自己，我们的命都不一样。对，并不只属于某个势力，对我们都属于世界。, Start Time: 4846320
Text: 不是不同周都是三代主角，都出现在世界不同的角落游。对对，不同生命的轨迹没错，嗯，有时候隔一层隔一层沙看会更美。你从你从民谣里，你从队友的话听到 wordon 也许会比你看到 WODNN 更美。因为你看到的 wordden 可能不是你想扮演那个 wordon，, Start Time: 4866520
Text: 这个东西很难很难还原。嗯，所以如果玩过三代再回去回味一代又是很有意思。对我觉得就是推荐啊，就是大家有时间或者是新的新没有玩过这个游戏的朋友，你可以从一代开始。对，然后你可以记得把那个 EA origin 的那个账号注册一下，然后这样子你可以把你的呃存档继承到 dragon key dragon key。, Start Time: 4884540
Text: 对对， dragon 不不论什么平台，你都可以把你的这个世界世界观导导，因为你所改变了的世界观导入到你的。对对对，须须正。对对对对对对对对对，然后大家购买正版嘛，前一阵子 DAO 还送过也呃，是吧？对对对对对，确实对。然后还有呢就是这个咱们现在在发一个音乐，, Start Time: 4907370
Text: 其实就是我觉得其实我们三位当时四位大大家都印象特别深刻，就是就就是当时那片里的热血对雪在飞啊，龙在喷啊。对对对，那个 CJ 遇告的盛辉乐乐。对对对，就就就那样的那个。对，就是那个大大家其实虽然就是其实其实那个为其实很震惊嘛，就是一个奇幻设定的游戏，居然用摇滚乐嘛。, Start Time: 4927810
Text: 选纪片片后非常常热血，哇，就觉得这是一个新的世界。对， dragon 果然没有让我们失望。对对对，然后他歌歌词里不停重复，那是是是是你对 new work 很热血啊，确实非常热血，就是就非常棒。然后就就是呃他当时那个 CG 就里面当，因为因为 DDAO 其实他画面从今天标标准还是从那时候标准，, Start Time: 4949010
Text: 其实都还就一般，甚至都不行。但是我当时我们玩很多这个游戏都是靠这个 CG 去脑补的很多场景。对对，然后和 mode 也是做用 CJ 里的人物做原型。对，但对他那个剑，那把剑和那块盾，嗯，还有还有雷丽安娜的那个建模，都完全按照 CJ 改的，有的这种 mode，, Start Time: 4970160
Text: 还有 number 一典，还有 stand。嗯，对，那好吧，那咱们这期节目就在歌声当中结束，我期待下一期这个 DA 二。对这场游戏的解析，嗯，咱们下期节目再见，拜拜拜拜。依旧的心情 is 的耶稣就走用的手。我想不是这我我吃现在为我 the spring 的世界，, Start Time: 4988240
Text: 这这样为为我我的界的世界。如果您想体验本期节目最好的视听效果，请到机核网网站三 w 点 g 杠 CORES 点 com 查看我们开发的新功能，保证会让你耳目一新。加六 pro 本着高端专业有态度，但没有节操、大气、美观、国际化，但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，, Start Time: 5070775
Text: 但是不一定都是对的。专题节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，, Start Time: 5144270
Text: 一一二八幺六八零八，为我们提供更多更好的话题和建议。, Start Time: 5179185
