Text: 行，走了，从前那我看怎么能 the money on the bed 要再激动，你是一个 right，知道我来跟你解屏。哎， hello，大家好，欢迎大家收听新一期的家里有桌游节目，我是冰，我是瞬间思路。哇，这终于又听到思路老师声音了，快消失一个月了。快好，, Start Time: 15730
Text: 你可以连动好几下。那这个游戏里呢版图分成两个部分。第一个部分呢是柏林维也纳莫斯科，什么罗马巴黎为主的这伦敦为主的欧洲，就是希这个现代文明底下呢是什么美索不达米亚呀，然后还有什么这个克里特呀、埃及希腊呀这样一个古文明地区。这个游戏的目的呢，大家就是扮演考古队。, Start Time: 3622070
Text: 现在欧洲这边的各处游历啊，搜寻就是寻找这个知识啊，搜寻助手啊，寻找工具啊什么，然后再到这些古文明的地方去挖坟盗墓。怎么挖呢？每个地区，比如说埃及有一个布口袋，写着埃及里面有很多原片儿。你伸手进去抓抓这些原片里面有的是宝物，就是这个文物，有的是黄沙废土块。那你抓了陷阱吗？, Start Time: 3643670
Text: 对，就是没有陷阱。但是有废物你能挖多少个片儿是有限制的。你有一个挖掘罗盘，这个罗盘是两个数字，左边的数字代表着你对这个地区有多少知识点的类，以及右边代表着你要用多少周的时间。就那时间轴，你你准备消耗多长时间在这挖嗯，你耗的越长，知识越多，你一次能抓出来的片就越多，, Start Time: 3667550
Text: 你抓的片儿越多，这里头的概率就是抓到这个文物的几率不就越大吗？嗯，每个地方的文物分值是不一样的，从一分起到一般到五六分这样结束啊，所以你可能一把装上来的这个分值是不一样，你还可以看这个分值分布来挖。但是这个游戏有意思的地方是你挖出来之后有分的，你留下没分的，, Start Time: 3688140
Text: 你还扔回去。换句话说，越挖越难挖。你明白这个概念吗？就是越挖被人挖走的。对，越挖废物越多，而且更好玩的地方是你挖这个东西，你不是要消耗时间轴吗？那可能就导致别人会在你后头动很多的事情。哦，对，而且你挖这个地方呢呃这个游戏最妙的地方在于里面挖出来的原片上画的文物，, Start Time: 3709200
Text: 游戏里面会给你一本手册。详细这个介绍这个文物在这个这个地区挖出来的历史时间和记录。这么科普吗？非常科普这游戏，这是我见过的第一个见过如此科普的说明书，如此有趣，有有如此科普，那不就是咱们的节目吗？对啊哇，这个广告做的水平提高了。对，所以这个游戏我真的给强烈大家给大家推荐你在玩的过程当中，, Start Time: 3730740
Text: 就会能体验到整个这种挖坟盗墓的这个过程。而且你还可以把这些挖出来的宝物根据需求回到欧洲去开办展览。比如说伦敦想要一个展览，他需要克里特的五件文物，需要这个什么埃及的三件文物才能办这个展。你手里有你可以立刻赶回到这个伦敦去，然后把这张牌拿走耗。比如三周的时间举行一个展览会，, Start Time: 3753330
Text: 这个展览会也是分哦，你还可以到演去得演讲，演讲是什么呢？你演讲的越多得分，比如说一张演，你演次演讲得得分分两次得三分，三次得五分。就这样这种感觉往上加，你越来越大了嘛。对对对对对，所以你还可以在你就挖出点儿，然后回欧洲到处去演讲，加分两张，这也太真实了吧。, Start Time: 3774210
Text: 对对，就是这游戏特别有趣趣，我就做了一个游戏，然后我四处去吹我这游戏有多牛逼啊。对对对对，就是这意思。然后最好玩的是你这这游戏，可可你耗的升，就是你的时间耗的太快了。然后你的游戏，你的三年已经用晚在那儿站着看别人玩哦，还可以这样。对，但你的人生不能透支，你不能说我后面还有两周，, Start Time: 3792790
Text: 那我干一个三周的事儿结束游戏，这不行，你你的人生就这么长，还还是爱因斯坦的相对论理论啊。对对对，每个人时间是伸缩啊。对，咱们后来从 d 比四开始呢，就出现了很多时间轴系统游戏，这种游戏都采用这种类尾的游戏。按照时间的顺序后到先走啊，这是一个非常好玩的游戏。, Start Time: 3813730
Text: 好，最后再给大家时间有限啊，是不是快到了时间？咱们最后再给大家介绍一个收尾的游戏。这个游戏是二 k 老师设计的，阿比他阿斌采访过这位这个游戏大师啊，设计大师。一九九九年这个游戏叫太阳神二 a 拉拉。对他支持两到五个人，是一个非常经典的拍卖类游戏。嗯，游戏当中呢大家可以通过拍卖，, Start Time: 3833950
Text: 然后来在这个版图上拍卖来获得什么呢？比如八位神灵啊，然后还有尼罗河的涨落卡啊，然后还有什么埃及古建筑卡啊，各种文化卡等等等等。通过这些东西来凑套，采用不同的积分方式计分。在游戏结束的时候，谁的分高谁赢？哎，这个游戏的乐趣在哪的？一般的游戏游戏我们可能能够想象我手里有多少钱就出多少钱，, Start Time: 3856350
Text: 谁交价高给谁，对吧？对这个游戏的特点不是这样的，他在游戏开始的时候，手里头会获得从两分到也不多少分，我忘了，反正分值不一样的。三组钱钱是是把把它拆几几组，多多玩玩家拆多少组，嗯，每人获得一组，你这一组钱的币值是固定的，明白这个意思吗？你有你手，我可能拿到了这一摞钱里头手里头有有一张是三块的，, Start Time: 3879570
Text: 一张是五块的，一张是七块的那假设打比方啊就总额都是一样的对，但是我拍出去的这个钱呢，这个每一张的这个面值是固定的。所以我在游戏进行拍卖的时候，是我如果买了这个东西拍下来了，我就把我的钱放在版图中间。接下来下一个出钱的人出完，比如说下一轮阶段开始的时候，他会别人会把这一摞钱拿走。, Start Time: 3903520
Text: 也就是说你付出这些钱，可能这一摞总额就是其他人以后要得到的资金，那你要花多少钱呢？什么时候花呢？你要自己犹豫想一想，而且这个游戏里面所有的这些个板块的，它的积分方式是不一样的。比如说什么金字塔狮身人面相这种建筑分是越多得分越多。然后这个文明分是一种计算方式式，, Start Time: 3924725
Text: 文明分里还有这种毁灭文明。比如说什么疾病啊、灾害死人啊，你还会打掉你的分哦。然后接着呢你像这个叫什么尼罗河涨落分，尼罗河涨落分是怎么算的？如果你只有枯水期的尼罗河不得分，但是你的枯水期多了之后，你有一张尼罗河涨水期的排在剩还会掉掉的分分啊，非常有趣，就是它的非常还原。, Start Time: 3947010
Text: 这个感觉 RK 非常喜欢做这种就是拍卖，然后以稀奇古怪的结算方式来。其实你想想这个游戏根本就没有什么代入感，你知道，但是他就能在这里头给你带入很多这种种算算元素。而且这个游戏最有趣的另一个地方式，它的游戏进行结束进程。一般来讲，这游戏不是有回合或是怎么样吗？, Start Time: 3968850
Text: 对，它是他刚才我说的那些都是板块，是在一个袋子里面暗抽出来的。每次在拍卖板上出什么，你是不知道的。嗯，但是其中有一种叫做计回回记录，回合用的板块，它上面有一个有一个这个轨道上面有十个格。当然游戏人数不一样的，一个空格位置采采的不一样啊嗯哼有十个格。每当你翻出来一个这个记录板块，, Start Time: 3986920
Text: 你就把它填到那个格上去，这个格填到一定程度 i 及的第一个时期就结束了。它把 i 古 ID 分成三个时期哦，然后拆分成三个时期，当三个时期都结束都被填满了，那轨道被记录满了之后，游戏就结束了哦，所以你还得看着上面填到了什么时候很真实。对，那至于那八个神明呢，, Start Time: 4007540
Text: 像拉之类的这八个神明啊，你这八个神明是百搭牌 joker。对，是 jocker。就是当这个用的这游戏里面，就是它明明只是一个简单的拍卖的游戏。然后但是他通过这种资金固定组合的数据，这种设计啊，包括里面各种不同的文化符号的代入，那这个游戏非常有真实感。嗯，啊这，, Start Time: 4025780
Text: 而且这游游戏并不难，最近也就是前两年刚刚在版美工得到了提升。我给大家做一个推荐，他唯一让我不喜欢的是老版本的太阳神拉里面的那个那个钱是木头块喷漆的木头块现在变成塑料了啊，这个感觉特不带感，你知道吗？特别 low 逼是塑料吗？对，但是当时木头块那个感觉非常的好，, Start Time: 4046600
Text: 所以我给大家推荐一下这个游戏。如果您要是想体验一下拍卖游戏的乐趣，这是一个非常好的拍卖类入门游戏。哎，嗯，行，讲到这儿呢，咱们基本也能发现了这埃及文化和古埃及的神话什么的，基本就像个皮。你可以底下就是任何东西，但是因为它有各种怪力，乱神的呃就神话传说啊，都市传说这种东西，, Start Time: 4068140
Text: 你随便就可以把它编一个故事，然后往上一套。没错，很有意思。可是有的时候套吧，你还真的有点生活，有点研究。你说套的太虚了吧，别人会觉得脱壳太严重，是你套的太真了呢。别人又会觉得哎这个太硬化，太僵化了，没意思。所以其实还得掌握一个度，这事儿困困难啊，但无论怎么样对我来戏啊，, Start Time: 4091750
Text: 比如说今天咱介绍的迪比斯是我推荐的最好的时间轴入门游戏。嗯，像太阳神那个拉是我推荐的非常好的拍卖类的入门游戏。嗯，可能也是巧合吧，就是很多埃及题材的游戏设计的都很经典。对，所以如果大家甚至喀坦岛也有埃及版，你知道吗？嗯，这我真对喀坦岛有埃及地图，早知道游戏王是埃及啊，, Start Time: 4111010
Text: 对我刚想说最后一个实在不行，你还可以获得游戏王卡牌，没准打开人生新的道路。对，然后万之牌也出过过王凯。对对，王凯，其实古埃及真的就是就像我们小时候看看 CTV 十啊是一样。你我知知道那些东戏，他就这期节目讲到最后，他不会给你一个答案，但你还是会兴致勃勃，把这期节目看完。, Start Time: 4132170
Text: 对对，所以我们刚才讲的那些东西呢，仅供您在游戏桌上用来这个调剂，用来让你的游戏过程变得更加有趣，但绝不代表着能够走进科学。对对对，这点务必请大家注意，自己的东西，还是要自己亲眼去看到，看的越多才能了解的更多嘛。对，而且最后不说，如果您有机会的话呢，也建议您能够到埃及亲自去走一走，, Start Time: 4152980
Text: 转一转。这看看阿斌当时看过那些东西，他说的到底对不对？好，那这期时间到这儿也就差不多了，咱们下一期节目再见吧，谢谢大家，再见，拜拜。, Start Time: 4175200
