Text:  hello，大家好，现在是北京时间。上午十一点，欢迎收听集盒游戏频道加油。 new ws 节目，我是 jerry。大家好，我是麦克小五，现在都没有前面准备直接开始录。没有现现在个剧流流水不想录，就是想回去玩这个博德三三 hello CCO 应该是狂狂玩。, Start Time: 31600
Text: 他们就是完全就不提单人剧情这回事了。是，然后我想哎哎就是当时 COD 在我印象里，这不是应该以一个单人剧情为主的吗？嗯，然后我记得使命召唤八的时候就也玩过一些多人，但其实那就是和朋友感觉玩举举。就当时主角剧情之后的一个消遣遣带一个小联动，聊聊天什么的。对，, Start Time: 3773820
Text: 然后我很惊讶于就是为什么现在 COD 就完全不提单人剧情这回事儿，这个这个变化真的是非常明显了。像现在战争的时候，那那次的剧情做的还是比较花功夫，但那个流程其实也非常短哦，那个单人剧情的流程可能也不到十个小时吧，我记不太清了，那是就跟以前比，那远不如那个那个就体量上不一样。, Start Time: 3792910
Text: 对对对对，时长就是侧重点，可能更偏向多人了，是吧？对，就但是其他自始始终他就有一个圈子，就是更关注单人上。对对，然后一个很庞大的圈子，就是跟这个国内大家的体验验太一样，或者说现在大家消费使命召唤这个游戏的重点也不在单人上了。他不不在以一个这个个剧情或者是重单人体验，, Start Time: 3815870
Text: 或者说重这种演出的这个 i 是就太依赖。对，然后后面这几代代单人剧剧情压缩的非常短，但可能我觉得对现代的 COD 玩家来说也是好事儿。因为很多人就是抱着要去玩多人买的哦，然后他你说你给他安排一个三十小时的或者四十小时的这个单人剧情，他可能对他也也玩不动了。, Start Time: 3838090
Text: 对，也玩不动。然后他也他又想通关，又觉得这个太折磨。所以可能你看这几座都是五到十小时就结束了哦，就让玩家快速的进入多人对战。对，可能这也是，但我觉得很很可惜，很遗憾。你像之前现实人就老的现实人三部曲的时候，包括行空洞三部曲的时候的那个演出完全了，都是都非常非常好。, Start Time: 3860240
Text: 是的对，然后包括他之后战地对一跟五这两代也是在单人的这个表现上，特别让人觉得不一样，就他就带给你的感动会特别多。像我我的一跟五都是后来玩的，都不是当当下玩的，后来补的票。对，后来补的票。但我当时玩了以后，我我其实已经知道一些，大家就会在哪个地方情节点其实你都知道了。, Start Time: 3882380
Text: 但但玩的时候依旧会依旧被震撼了。对，情绪会跟着他一起去祈福，然后那个体验就特别好。但你看 COD 现在就是已经不在乎这些了，或者说另一种策略了吧。是是是对，或者说可能开发单人就本身就是一个费力不讨好的事儿，他需要你大量的人力物力资源投入进去，但可能玩家的重心也不在这儿。, Start Time: 3907380
Text: 而且现在 COD 现在是每年推出一部嘛，怎么说呢？它那个持续性的那个盈利也很重要，是他是可能免不了吧，就是这个多人的体验会更更看重一些。嗯嗯嗯，然后这个三零零三啊，他们也预告了，说下一支预告将在七八月十七号公布。嗯，对，然后现在这支预告说了，十一月十日会发售，, Start Time: 3930780
Text: 嗯，跟去年差不多时间应该其实差不多，但是感觉宣发比去年晚了很多，然对比以往都晚了。以往的话，一般来说 e 三前或者是一三的时候，肯定会六月份左右了，肯定会有第一支片子了。嗯嗯，然后另一个比较大的发布是这一周宝可梦的发布会。哎，嗯一个三十五分钟的全篇啊，就是讲了海量的东西，, Start Time: 3952260
Text: 换了中间换了很多场景去讲这些事儿。嗯，这因为因为公布的消息非常多，我就简单说几个我个人比较感兴趣的好。首先他前半部分其实花了很大精力去讲去讲这个宝可梦世界杯的事情。嗯， WCLWCS 的宝可梦世界杯大师锦标赛的一系列相关的情况。嗯，然后这个这个让我觉得很很惊叹啊，, Start Time: 3973520
Text: 因为我之前可能就是没有没有那么多关注，然后发现这个宝可梦大师的具体项目，有宝可梦珠子、嗯，宝可梦梦幻幻卡牌。对，这个现在国内现在也也推行了嘛，简装版本也非常成功。嗯，然后还有宝可梦大集结，这个很正常啊。它本身因为它是个魔法嘛， mobile 游戏。对，然后很震惊，, Start Time: 3995240
Text: 是有宝可梦 go 宝可梦 go go 啊，这这这个确实我我我不知道，因为我知道宝可梦 go 到后期就是你你那些精灵可以打道馆，可以打一些这个特殊的怪物啊什么之类的。但是我确实不知道这个这个东西在大师赛上还能跟训练师决斗嘛。可能这个是我当时玩的版本里没有这些东西啊，, Start Time: 4012890
Text: 就是什么？只要在横冰决赛赛然是是 oonner，你可以给路人来一场面对面 battle，面对面的 battle 啊，有可能不知道啊，可能是后后面更新之后，新加的东西吧啊是反正后来也没玩道。但但是可可梦 go 不应该是一个完全赖赖强的游戏戏，所以以还挺好奇，, Start Time: 4031770
Text: 这个宝可梦 go 他们会怎么决出这个冠军啊？哎，除了刚才说的这个前面这个重头戏宝可梦世界杯锦标赛啊。对，但是其实还说了，海量的情报是啊纵观各个产品线，无论是这个新动报还是新游戏戏非非常多。你就震惊于原来这个宝可梦有这么多线了，可以被开发的领域有如此之多。啊，, Start Time: 4049050
Text: 是嗯，那我说两个我比较感兴趣的吧。嗯，首先这个宝可梦二零二三年的这个 go fest 有三个举办地，分别是伦敦、大阪和纽约。嗯，伦敦是八月四五六号那个举办，然后纽约是八月十八十九、二十。嗯，然后此外就是二十六号二十七号，然后也会有一些线上活动，因为今天也是宝可梦 go 的那个七周年了。, Start Time: 4071980
Text: 哦，好，所以说那个官方也是希望大家能够就是欢庆一下吧。嗯，因为这个手游用这么多年也挺不容易的。然后我还看了一下二二年的这个 go fest，说说二年的那个个 go fist，其实是给三个城市带来了共计三点零九亿的这个美元的这样一个经济增长啊，对整个城市都有这个对这个集震效果是是，, Start Time: 4097540
Text: 然后有一些然后官方他进行了一些调研，然后说有的人还确实是因为这个活动来到这个城市，然后他们也愿意之后再来这个城市。嗯，所以对旅游业也要有有一些增长。嗯，只不说这个国外有条件的朋友们啊，如果能参加的话，也可以参加一下。是可以看看十八、十九、二十号纽约的一个活动，, Start Time: 4121580
Text: 这是 go fast 的。还有一个是一些珠子的几个小情报，然为珠子是去年发售嘛，肯定还有不少朋友正在玩。嗯，然后首先是珠子的一个原创的一个网络动画，是这迪亚的课后时光正式公布啊，看上去挺轻轻松的一个一个动画是。然后我看这个动画的简介好像是说校长请三个学生想给想新生和转学生做一个校园宣传片之类的东西西，, Start Time: 4142360
Text: 然后引发的一些事儿吧。然后这个片是九月六号在 youtube 上播放。嗯，第二个是梦幻和超梦将在珠子中登场。对，然后首先是珠子的一个新闻，是这两个宝可梦算是也算是当家的吧，也算是排面宝可梦当家神兽。对，然后先先个梦幻的获得方式比较新。对，在神秘礼物中输入代码就可以。, Start Time: 4167460
Text: 嗯，然后超梦的话需要在活动特设的一个探行团体战中才能获得。然而这个梦幻作为一个这个宝可梦系列初代的幻兽，也是在玩家心中有着特殊的地位啊，然次也是一个难得的机会啊，两个宝可梦的领取时间分别在九月八号。是的，晚十一点和早上八点，大家记得去挑战和领取一下。嗯，然后最后一个是宝可梦珠子的 DLC 灵芝秘宝公布了一个新片，, Start Time: 4189870
Text: 然后前篇壁之假面是在九月十三号正式发布，然后也公布了两个铁可梦吧，在猪里面会遇见名为猛雷鼓的宝可梦。对，就是这个雷公水军炎帝是吧？哎，对，这个新版的雷公看上去是嗯然后在子中会遇到名为铁头壳的这样一个宝可梦。嗯嗯，那个大家现在也吐槽的非常的多啊，就是这个这个版版的雷雷是在九月宝颈鹿，, Start Time: 4216150
Text: 有点像长颈鹿或者是雷龙这样的。哎，当我看这个猛雷鼓特，像那个索尼，你地平里里边那个开那个那个头上是个大圆盘。对对对，怪兽是吧？就像那个嗯感觉那个雷是直接胡胡子里劈下来的，感觉一样，反正就也挺逗。嗯，这是朱子的三个小消息吧。嗯，对，而且这个碧纸甲面上线时间是九月十三号，, Start Time: 4241390
Text: 但是后天这个兰芝圆盘现在定为冬季之后，然后具体的这个发售时间其实还没有定。对，然后两款合起来的一起的售价是三千五百日元。嗯，然后大家不要买错了，那好宝可梦的消息就是这些。好嗯，那最后其实在公布几个我比较感兴趣的，之前几周也都报过的财报报相关的信息。如果大家有兴有记忆的话，, Start Time: 4264580
Text: 应该会记得。就是前两周我们公布了卡普空和任天堂，是他们这两家公司都是在今年的同期有巨量的增长，就是营业利润。对大赚特赚有巨量的营业利润的增长。首先，卡普空是现在定将近一将百百分之九十九点多。对，然后任天堂我记得上次说也是百分之八十多是嗯，但是今天这两个财报，, Start Time: 4288440
Text: 一个是 SE 的嗯，最开公布的他们财报这个第一季度四到六月份，他是营业额同比增长了百分之十四点四，但是营业利润却同比减少了百分之七十八点五。是嗯就是少赚了很多啊。 SE 其实这两年推出了挺多游戏了，但是就是感觉效果并不是那么好嘛。包括从销量和质量，而且这个第一季度有他们一个非常重型的新游戏嘛，, Start Time: 4313680
Text: 最终幻想十六终幻想十六。然后我看评论区朋友有人说说他这个营业利润减少，可能就是因为最终幻想十六刚发售嘛，他财报统计的时候，他那个成本还没收回来哦，啊，所以说它显得可能会有点减少，还是看后续吧。哦，那那就确实解答我的疑惑，嗯，啊，因为我我总觉得最终幻想十六应该不会少卖。, Start Time: 4341400
Text: 对，最终幻想十六这种巨型 IP，他发售的话应该不会有一个减少，起码嗯起码在发售这个季度他肯定是不会减少。嗯，然后另一个是索尼这边也公布了他们第一季度的财报。嗯，前两前两周也报过了，就是 PS 五，现在的总出货量是四千多万台，现更新了这个出货量应应该是四千一百七十万台。, Start Time: 4359840
Text: 对，前两周说的是 PS 五，总销量突破了四千万。然后这周财报里也显示是 PI 五，总出货量是四千一百七十万台。嗯嗯，也是同样的情况，就是它的营业额同比增长了是百分之三十三。对，但是利润其实同比减少了百分之三十一。我看主要原因是因为金融和电影领域的大幅减亿炒股去了是吧？, Start Time: 4382390
Text: 我觉得因为像像索尼这种公司，它已经不全完全靠自己的产品线在盈利了。是嗯就是很多外部的投资其实可能也很重要。嗯，然后彭博社其实昨天就是今天早上也说嘛，说八月十号东京股市开盘的时候，索尼的股价是跌了百分之六点七。然后有一个日本分析师是说，就是今年索尼必须就是靠这个漫威蜘蛛侠二，, Start Time: 4404360
Text: 他是绝对不能在演期出问题的。对，然后我看这财报里其实没怎么提 PSVR 二的事儿。因为这周有一个就是相当于小新闻嘛，就是有一个 IGN 的执行主编，他发了个推，说后悔买 PSVR 二说买完之后，本以为会带来全新的 VR 试听体验，但是其实并没有什么游戏支持。, Start Time: 4427560
Text: 嗯，我看这个就是感觉他那个宣发也好，新闻也好，就也没什么饼。对我甚至不不怎么提的感觉。对我看到最后甚至好奇，为什么他们会在就是这个时间点给 VR 这条线推出一个全新的主机。对，就是就我甚至产生了这种怀疑，也可能是本来有一些什么规划。后来因为因为然后各种原因，, Start Time: 4446640
Text: 项目取消了或者怎么着不知道不知包括现在有一些已经爆出来的，这个之前不是打商战嘛，然后说你们索尼马上要出那个新机器，嗯，在就已经。对对对，因为网上有人爆出来那个新机器。对，在财报里看索尼新闻。对，然后就说那个新机器的造型已经公布出来了吧，我看着感觉也不不是很看看，, Start Time: 4468340
Text: 然后对我不知道是泄露还是假消息啊。对，这些东西咱们先先说清楚啊，嗯不保真啊，这谣谣言反正就是但是确实也有一些消息。然后索尼真人财报里也说售出的游戏中其实数字版占了百分之七十二，嗯，就是占的还挺多，比我想象中多多不少呢。是因为现在感觉我体感上来讲是有一些游戏，, Start Time: 4488240
Text: 慢慢的开始说游戏什么什么发售，然后实体版是延后一个月，包括延后很长时间才发售。嗯嗯，也是也是一个趋势吧。我什么样的朋友，包括买叉 box、买 play station，其实都会选择数数字版。他们买实体版可能就是他们会想什么买二手盘，或者说啊就是买实体版，要不就是你准备通完之后出二手回个血，, Start Time: 4509640
Text: 或者要不就是跟小五小五今天一样，就带了很多就是有收藏价值的，为最初的美好回忆了。但我现在 NS 所有游戏，除非他没有实体版，我一般都还会买实体，我也是对，还是喜欢有一个握在手里的东西。对对对，以及我觉得数字版的话，我总会觉得这游戏我没买。我是在租啊，就是花了一个很长很长时间的时间在租。, Start Time: 4533690
Text: 因因为他如果因为 steam 的实际他他的逻辑就是你租租的那个游戏。呃，对，或者说比如说你看你要是过了好多年以后， NS 说哎，我这服务器停服了，然后大家就赶赶紧下。比如说之前三 DS 的时候，跟 VEO 的时候，嗯，你就赶紧下，你不下的话，以后我们就没法再提供这服了。, Start Time: 4557390
Text: 那我那个时候就会很焦虑，虽非可现在游戏我也不会再玩了。但我他这么一说，我就很焦虑了。就你说到这个实体版的事候，就是酒里最近看的剧逗的一个就是我看了一个 up 主，他家的狗喜欢到处闻闻了之后舔。然后我看了那个，然后然后舔卡带了，然后他就给拿着那个 s 卡带给那个狗。, Start Time: 4574310
Text: 那狗那狗本来挺开心的，舔了一口，挺开心的，舔了一就一口，然后就是表情嘛，就怀疑人生的狗生了。就是你从来没有看过那么不开心的狗啊，那说明他们这个策略非常成功，确实连狗都不会误食。嗯嗯，反正财报这个最后我再说一个小点嘛，就是 PS 四和 PS 五软件的销量量已经达到了五千六百五十万份。, Start Time: 4593080
Text: 但是其中第一方游戏销量呃是六百六十万份儿哦嗯感觉索尼应该多出一点。第一方游戏，但是现在开发成本越来越高嘛，对嗯开发周期越来越长嘛。嗯，那我最后再提一个一个一个小的消息吧。哎这个呃 devo 发发布了一个小的发布会啊，模仿传说中的跳票发布会。对对对，他模仿那个直面会的那个那个视觉，, Start Time: 4618500
Text: 他做了一个 devo dedelayed，就是我们这个跳票直面会就宣布了有那么一些他们发行的游戏确认延期了。然后我觉得还挺可惜的，有哪些呢？有这个勇敢，小骑士对，说是延期到二零二四年这个这个游戏。我当时看着画面也太新颖了。对，就很很好玩，看着很就是很很有吸引力，, Start Time: 4646270
Text: 而且有很多非常经典的玩法，就感觉很自然的能够融入进去。对对对，嗯，还有这个打工火柴人也是延期到二零二四财年。然后我觉得最可惜的就是这个 skay story，这个游戏也是延期了，也是延期到二零二四年。具体是什么时候也没说这游戏，我觉得就是怎么说他的那那预告片做太好了，, Start Time: 4666610
Text: 太会做预告片。那预告片简直就是游戏预告片的典范，就值得大家去学习。游戏就是一个滑板的，呃，怎么说就是一个滑板游戏哦，是那个。对对对，但是他就是那个主角有点像玻璃的那个感觉，我知道道。然后你你你摔了以后，它就整个就碎了，然后画面就特别唯美，就一个特别低低位面低面的一个对 logo 的。, Start Time: 4687910
Text: 对，但他其实里边世世界面不不是那个不是那样。对对对，显得你你的在那里面特别的出跳。对，然后这个游戏整体的音乐的感觉跟他那个就是画面的那个质感就觉得特别对味儿。嗯，但是我他当时第一次公布的时候，我觉得这游戏我特别期待，但现在又听到他延期比较比较比较难过了。还有哦还有这个愤怒的大鸟，, Start Time: 4709800
Text: 也是宣布延期的。这个如果大家参加过这个核聚变的话，就是之前广剧战的话，也是现场里玩玩这个游戏。对对，然后总之 dedeover 发生这游戏戏，就是我都会去看一眼。对，游戏都很有特点。对对，然后还有这个电钻少女也是宣布延期了，就比较遗憾吧，希望今年不要再听到什么延期的消息了。, Start Time: 4731220
Text: 但是最让震惊惊，他们为了延延这这事儿专门开了一个发布。对，所以我我也只能说这个事儿很是个好活，是是一贯的风格。嗯，刚才也提到了索尼财报嘛，那什么其实本周索尼也公布了呃八月份的 play station 加新增的一个游戏阵容。嗯嗯，然后此外星之海和胡闹搬家二领衔哦，, Start Time: 4753100
Text: 星之海将于八月二十九号发售，然后并且首发就是直接进进这阵阵容了。然后此外星之海这游戏其实也进了叉 GP。嗯，就说明在游戏发售当天，无论是索尼的订阅会员，还是微软的订阅会员，都可以直接玩到直接玩到星之海。嗯嗯，然后此外还有一些其他的新增游戏，像命运二的资料片邪击魅影。, Start Time: 4772770
Text: 嗯，然后以及龙工作室的这个就是木村主演的这个审判知识，湮灭的记忆，嗯，毁灭全世界二等等等等，游戏其实还是挺多的。嗯，然后经典游戏也就是第三档加入了三款游戏，分别是骷髅、骑士复苏、捉猴了、猴子爱作战以及强力追击终极正义。嗯嗯，还是挺推荐大家这个玩在这个审判知识湮灭的记忆的啊。, Start Time: 4794210
Text: 嗯嗯，这个 IP 其实都我发现你好像特别喜欢这游戏啊，是就是就是这个系列，其实它每一座都在探讨一些社会问题了。其实像第一代是审判之眼，探讨这个医药和药物实验。嗯，其实也是药物，就是医疗其实也是和我们生活息息相关嘛。像审判知识，也就是这次新加入的这一座，其实是探要了校园暴力，, Start Time: 4818660
Text: 嗯，然后以及引发的一些事件嗯，推荐大家玩一下，这就是这次八月的一个新能游戏阵容。嗯，我是特别想玩那个星之海啊，但是我就觉得有点忙不过来了。因为你知道 RPG 嘛，就是其实都很很耗时间，希望有博乐之门。三对，然后现在又全力的玩博乐之门。三嗯，然后我我们那个那那旮旯，, Start Time: 4840260
Text: 就是我跟宇川是玩博乐之门。三然后 max 在我们旁边，因为他是要玩主机版，就是还要再等等一个月。嗯，然后昨天看到了主机版定价，嗯，五百块钱也挺贵的，太贵了也难受。嗯，难受还在带，是拥有主机的操作，非一般的验很着急啊，才能一边走一边玩。哎，不知知有没有这个在在家里，, Start Time: 4861700
Text: 这个也是想玩主机版的的，还要等一个月的玩家朋友们，嗯，那难受啊，就如果你这个忍不了了，这个欧美奇幻的世界已经这个等不及了，那其实也够走了。听听我们的何氏奇谈有声书哦，第一例法啊，三部曲重庆出版社独家授权啊，欢迎大家来听。嗯，这也是翟伟老师二零二二年唯一读完这本书书，, Start Time: 4884090
Text: 你不用再提这件事了。好嗯，好，那无论你是喜欢哪个游戏，哪个游戏是你以前的最爱。你现在要不要为他花钱啊，你现在在玩什么？嗯，那么以上就是本期的游戏新闻节目，嗯，听众朋友们，我们下期再见，拜拜拜拜。希望大家都能玩的开心。好，拜拜回呀回呀回呀，回呀，回我看 at long，, Start Time: 4907710
Text: 爱就不来 manda，你么么么？分享游戏音乐设计中的巧思解答，游戏音乐创作中的困惑。集核网独家呈现音乐人博采生主讲 g pas 全新系列电台节目。游戏音乐创作漫谈，用灵感与理性构建起游戏中的听觉世界加入机核网会员 g pass 即刻收听。, Start Time: 4936320
